row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2018,Đơn vị tính: VND01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__Đơn vị tính: VND01/01/2018
A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,100,,2.567.930.119.007,1.765.943.996.905,100.0,,2567930119007.0,1765943996905.0
I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,110,5.1,26.415.936.779,195.089.629.972,110.0,51.0,26415936779.0,195089629972.0
1. Tiền,1. Tiền,1. Tiền,111,,26.415.936.779,125.089.629.972,111.0,,26415936779.0,125089629972.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,70.000.000.000,112.0,,,70000000000.0
II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,120,,-,-,120.0,,,
III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,130,,904.151.289.722,614.462.515.342,130.0,,904151289722.0,614462515342.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,397.535.163.689,240.642.055.914,131.0,52.0,397535163689.0,240642055914.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,90.146.096.469,20.744.335.782,132.0,53.0,90146096469.0,20744335782.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.4,133.150.000.000,4.000.000.000,135.0,54.0,133150000000.0,4000000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,293.927.533.821,349.328.592.153,136.0,55.0,293927533821.0,349328592153.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5.6,(10.607.504.257),(252.468.507),137.0,56.0,-10607504257.0,-252468507.0
IV/ Hàng tồn kho,IV/ Hàng tồn kho,IV/ Hàng tồn kho,140,5.7,1.535.861.013.841,915.509.694.066,140.0,57.0,1535861013841.0,915509694066.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,1.535.861.013.841,915.509.694.066,141.0,,1535861013841.0,915509694066.0
