row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Vốn góp của chủ sở hữu VND_1,Quỹ đầu tư phát triển VND,Quỹ đầu tư phát triển VND_1,Quỹ khác thuộc vốn chủ sở hữu VND,Quỹ khác thuộc vốn chủ sở hữu VND_1,LNST chưa phân phối VND,LNST chưa phân phối VND_1,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Vốn góp của chủ sở hữu VND_1,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ đầu tư phát triển VND_1,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND_1,numeric__LNST chưa phân phối VND,numeric__LNST chưa phân phối VND_1,numeric__Tổng cộng VND
,,,Vốn góp của chủ sở hữu VND,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,LNST chưa phân phối VND,Tổng cộng VND,,,,,,,,,
Số dư tại 01/01/2017,Số dư tại 01/01/2017,Số dư tại 01/01/2017,262.200.000.000,262.200.000.000,15.177.859.740,15.177.859.740,7.588.929.869,7.588.929.869,57.809.262.401,57.809.262.401,342.776.052.010,262200000000.0,262200000000.0,15177859740.0,15177859740.0,7588929869.0,7588929869.0,57809262401.0,57809262401.0,342776052010.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,1.337.800.000.000,1.337.800.000.000,-,-,-,-,-,-,1.337.800.000.000,1337800000000.0,1337800000000.0,,,,,,,1337800000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,412.851.931.450,412.851.931.450,412.851.931.450,,,,,,,412851931450.0,412851931450.0,412851931450.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(244.172.000.000),(244.172.000.000),(244.172.000.000),,,,,,,-244172000000.0,-244172000000.0,-244172000000.0
Số dư tại 31/12/2017,Số dư tại 31/12/2017,Số dư tại 31/12/2017,1.600.000.000.000,1.600.000.000.000,15.177.859.740,15.177.859.740,7.588.929.869,7.588.929.869,226.489.193.851,226.489.193.851,1.849.255.983.460,1600000000000.0,1600000000000.0,15177859740.0,15177859740.0,7588929869.0,7588929869.0,226489193851.0,226489193851.0,1849255983460.0
Số dư tại 01/01/2018,Số dư tại 01/01/2018,Số dư tại 01/01/2018,1.600.000.000.000,1.600.000.000.000,15.177.859.740,15.177.859.740,7.588.929.869,7.588.929.869,226.489.193.851,226.489.193.851,1.849.255.983.460,1600000000000.0,1600000000000.0,15177859740.0,15177859740.0,7588929869.0,7588929869.0,226489193851.0,226489193851.0,1849255983460.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,-,370.527.617.466,370.527.617.466,370.527.617.466,,,,,,,370527617466.0,370527617466.0,370527617466.0
Số dư tại 31/12/2018,Số dư tại 31/12/2018,Số dư tại 31/12/2018,1.600.000.000.000,1.600.000.000.000,15.177.859.740,15.177.859.740,7.588.929.869,7.588.929.869,597.016.811.317,597.016.811.317,2.219.783.600.926,1600000000000.0,1600000000000.0,15177859740.0,15177859740.0,7588929869.0,7588929869.0,597016811317.0,597016811317.0,2219783600926.0
Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,,,,,,,,,
,,,31/12/2018,31/12/2018,31/12/2018,31/12/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,,,,,,,,,
,,,Số lượng CP,Giá trị VND,Tỷ lệ %,Số lượng CP,Giá trị VND,Tỷ lệ %,,,,,,,,,,,,
Ông Tô Như Toàn,Chi tiết vốn đầu tư của chủ sở hữu > Ông Tô Như Toàn,Ông Tô Như Toàn,40.000.000,400.000.000.000,"25,00%",40.000.000,400.000.000.000,"25,00%",,,,40000000.0,400000000000.0,0.25,40000000.0,400000000000.0,0.25,,,
Ông Tô Như Thắng,Chi tiết vốn đầu tư của chủ sở hữu > Ông Tô Như Thắng,Ông Tô Như Thắng,11.300.000,113.000.000.000,"7,06%",11.300.000,113.000.000.000,"7,06%",,,,11300000.0,113000000000.0,0.0706,11300000.0,113000000000.0,0.0706,,,
Bà Đào Thị Hồng Hạnh,Chi tiết vốn đầu tư của chủ sở hữu > Bà Đào Thị Hồng Hạnh,Bà Đào Thị Hồng Hạnh,4.000.000,40.000.000.000,"2,50%",4.000.000,40.000.000.000,"2,50%",,,,4000000.0,40000000000.0,0.025,4000000.0,40000000000.0,0.025,,,
Ông Vũ Thanh Tuân,Chi tiết vốn đầu tư của chủ sở hữu > Ông Vũ Thanh Tuân,Ông Vũ Thanh Tuân,7.277.650,72.776.500.000,"4,55%",7.750.000,77.500.000.000,"4,84%",,,,7277650.0,72776500000.0,0.0455,7750000.0,77500000000.0,0.0484,,,
Công ty CP Đầu tư THG Holdings,Chi tiết vốn đầu tư của chủ sở hữu > Công ty CP Đầu tư THG Holdings,Công ty CP Đầu tư THG Holdings,37.500.000,375.000.000.000,"23,44%",37.500.000,375.000.000.000,"23,44%",,,,37500000.0,375000000000.0,0.23440000000000003,37500000.0,375000000000.0,0.23440000000000003,,,
Vốn góp của cổ đông khác,Chi tiết vốn đầu tư của chủ sở hữu > Vốn góp của cổ đông khác,Vốn góp của cổ đông khác,59.922.350,599.223.500.000,"37,45%",59.450.000,594.500.000.000,"37,16%",,,,59922350.0,599223500000.0,0.37450000000000006,59450000.0,594500000000.0,0.3716,,,
Cộng,Chi tiết vốn đầu tư của chủ sở hữu > Cộng,Cộng,160.000.000,1.600.000.000.000,100%,160.000.000,1.600.000.000.000,100%,,,,160000000.0,1600000000000.0,1.0,160000000.0,1600000000000.0,1.0,,,
