row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫnVND","Thiết bị, dụng cụquản lýVND",Tổng cộngVND,"numeric__Phương tiện vận tải,truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2018,NGUYÊN GIÁ > Số dư tại 01/01/2018,Số dư tại 01/01/2018,10.375.342.844,844.837.567,11.220.180.411,10375342844.0,844837567.0,11220180411.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,2.366.865.455,429.543.636,2.796.409.091,2366865455.0,429543636.0,2796409091.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.532.763.636),-,(1.532.763.636),-1532763636.0,,-1532763636.0
Số dư tại 31/12/2018,NGUYÊN GIÁ > Số dư tại 31/12/2018,Số dư tại 31/12/2018,11.209.444.663,1.274.381.203,12.483.825.866,11209444663.0,1274381203.0,12483825866.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,
Số dư tại 01/01/2018,GIÁ TRỊ HAO MÔN > Số dư tại 01/01/2018,Số dư tại 01/01/2018,3.512.692.141,757.948.679,4.270.640.820,3512692141.0,757948679.0,4270640820.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN > Khấu hao trong năm,Khấu hao trong năm,1.744.119.745,165.088.938,1.909.208.683,1744119745.0,165088938.0,1909208683.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(605.117.859),-,(605.117.859),-605117859.0,,-605117859.0
Số dư tại 31/12/2018,GIÁ TRỊ HAO MÔN > Số dư tại 31/12/2018,Số dư tại 31/12/2018,4.651.694.027,923.037.617,5.574.731.644,4651694027.0,923037617.0,5574731644.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số dư tại 01/01/2018,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2018,Số dư tại 01/01/2018,6.862.650.703,86.888.888,6.949.539.591,6862650703.0,86888888.0,6949539591.0
Số dư tại 31/12/2018,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2018,Số dư tại 31/12/2018,6.557.750.636,351.343.586,6.909.094.222,6557750636.0,351343586.0,6909094222.0
