row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị VND,31/12/2018 > Dự phòng VND,01/01/2018 > Giá trị VND,01/01/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị VND,numeric__31/12/2018 > Dự phòng VND,numeric__01/01/2018 > Giá trị VND,numeric__01/01/2018 > Dự phòng VND
Các bên liên quan,Các bên liên quan,Các bên liên quan,349.317.090.370,-,3.194.418.832,-,349317090370.0,,3194418832.0,
Công ty CP Văn Phú Homes,Công ty CP Văn Phú Homes,Công ty CP Văn Phú Homes,969.679.233,-,-,-,969679233.0,,,
Công ty CP Văn Phú - Bắc Ái,Công ty CP Văn Phú - Bắc Ái,Công ty CP Văn Phú - Bắc Ái,806.501.300,-,-,-,806501300.0,,,
Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,-,-,62.471.995,-,,,62471995.0,
Công ty CP Đầu tư Văn Phú Land,Công ty CP Đầu tư Văn Phú Land,Công ty CP Đầu tư Văn Phú Land,12.540.909.837,-,3.131.946.837,-,12540909837.0,,3131946837.0,
Công ty CP BDSC (i),Công ty CP BDSC (i),Công ty CP BDSC (i),335.000.000.000,-,-,-,335000000000.0,,,
Các bên khác,Các bên khác,Các bên khác,48.218.073.319,(10.607.504.257),240.642.055.914,(252.468.507),48218073319.0,-10607504257.0,240642055914.0,-252468507.0
Nguyễn Trung Thành,Nguyễn Trung Thành,Nguyễn Trung Thành,-,-,104.474.644.500,-,,,104474644500.0,
Phải thu các khách hàng mua nhà thấp tầng V5+V6 - Dự án Văn Phú,Phải thu các khách hàng mua nhà thấp tầng V5+V6 - Dự án Văn Phú,Phải thu các khách hàng mua nhà thấp tầng V5+V6 - Dự án Văn Phú,24.230.535.000,-,73.693.730.000,-,24230535000.0,,73693730000.0,
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,23.987.538.319,(10.607.504.257),62.473.681.414,(252.468.507),23987538319.0,-10607504257.0,62473681414.0,-252468507.0
Cộng,Cộng,Cộng,397.535.163.689,(10.607.504.257),240.642.055.914,(252.468.507),397535163689.0,-10607504257.0,240642055914.0,-252468507.0
