row_label_raw,row_label_full,col_0,31/12/2018,31/12/2018_1,31/12/2018_2,01/01/2018,01/01/2018_1,01/01/2018_2,numeric__31/12/2018,numeric__31/12/2018_1,numeric__31/12/2018_2,numeric__01/01/2018,numeric__01/01/2018_1,numeric__01/01/2018_2
,,,Số lượngCP,Tỷ lệsở hữu%,Tỷ lệbiểuquyết%,Số lượngCP,Tỷ lệsở hữu%,Tỷ lệbiểuquyết%,,,,,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,,,,,
Công ty CP ĐT BOT Hà Nội - Bắc Giang,"Đầu tư vào công ty liên doanh, liên kết > Công ty CP ĐT BOT Hà Nội - Bắc Giang",Công ty CP ĐT BOT Hà Nội - Bắc Giang,16.378.640,33%,33%,16.378.640,33%,33%,16378640.0,0.33,0.33,16378640.0,0.33,0.33
Công ty CP In và Văn hóa phẩm,"Đầu tư vào công ty liên doanh, liên kết > Công ty CP In và Văn hóa phẩm",Công ty CP In và Văn hóa phẩm,3.369.327,"46,77%","46,77%",3.369.327,"46,77%","46,77%",3369327.0,0.4677,0.4677,3369327.0,0.4677,0.4677
Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,"Đầu tư vào công ty liên doanh, liên kết > Công ty CP Đầu tư và Phát triển Thương mại Văn Phú",Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,965.300,35%,35%,965.300,35%,35%,965300.0,0.35,0.35,965300.0,0.35,0.35
Công ty CP Kinh doanh Địa ốc Văn Phú,"Đầu tư vào công ty liên doanh, liên kết > Công ty CP Kinh doanh Địa ốc Văn Phú",Công ty CP Kinh doanh Địa ốc Văn Phú,216.000,"43,9%","43,9%",,,,216000.0,0.439,0.439,,,
Công ty CP Tài nguyên và Môi trường Trường Minh,"Đầu tư vào công ty liên doanh, liên kết > Công ty CP Tài nguyên và Môi trường Trường Minh",Công ty CP Tài nguyên và Môi trường Trường Minh,,,,1.050.000,"67,74%",35%,,,,1050000.0,0.6774,0.35
Công ty TNHH BT Hà Đông,"Đầu tư vào công ty liên doanh, liên kết > Công ty TNHH BT Hà Đông",Công ty TNHH BT Hà Đông,,"49,2%",50%,,,,,0.49200000000000005,0.5,,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
Công ty CP Tài nguyên và Môi trường Trường Minh,Đầu tư góp vốn vào đơn vị khác > Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,1.050.000,"18,75%","18,75%",,,,1050000.0,0.1875,0.1875,,,
Công ty TNHH Đầu tư Hưng Phú Residence,Đầu tư góp vốn vào đơn vị khác > Công ty TNHH Đầu tư Hưng Phú Residence,Công ty TNHH Đầu tư Hưng Phú Residence,,10%,10%,,,,,0.1,0.1,,,
