row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm > Hoàn nhập trong năm,Năm 2018VND > 252.468.507 > 10.355.035.750 > -,Năm 2017VND > 252.468.507 > -,numeric__Năm 2018VND > 252.468.507 > 10.355.035.750 > -,numeric__Năm 2017VND > 252.468.507 > -
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,,
Số dư cuối năm,Điều chỉnh khác > Số dư cuối năm,Số dư cuối năm,10.607.504.257,252.468.507,10607504257.0,252468507.0
