row_label_raw,row_label_full,col_0,Chi tiêu,Mã số,Năm 2018,Đơn vị tính: VND Năm 2017,numeric__Chi tiêu,numeric__Mã số,numeric__Năm 2018,numeric__Đơn vị tính: VND Năm 2017
I/,I/,I/,Lưu chuyển tiền tử hoạt động kinh doanh,,,,,,,
1.,I/ > 1.,1.,"Tiền thu tử bán hàng, cung cấp dịch vụ và doanh thu khác",01,165.662.521.479,655.868.519.378,,1.0,165662521479.0,655868519378.0
2.,I/ > 2.,2.,"Tiền chi trả cho người cung cấp hàng hoá, dịch vụ",02,(920.134.998.221),(307.583.633.018),,2.0,-920134998221.0,-307583633018.0
3.,I/ > 3.,3.,Tiền chi trả cho người lao động,03,(36.489.198.239),(20.416.705.357),,3.0,-36489198239.0,-20416705357.0
4.,I/ > 4.,4.,Tiền chi trả lãi vay,04,(28.800.065.470),(25.061.215.038),,4.0,-28800065470.0,-25061215038.0
5.,I/ > 5.,5.,Thuế TNDN đã nộp,05,(89.788.193.379),(72.659.007.801),,5.0,-89788193379.0,-72659007801.0
6.,I/ > 6.,6.,Tiền thu khác tử hoạt động kinh doanh,06,1.633.966.581.919,346.374.525.486,,6.0,1633966581919.0,346374525486.0
7.,I/ > 7.,7.,Tiền chi khác cho hoạt động kinh doanh,07,(729.634.368.979),(591.220.401.768),,7.0,-729634368979.0,-591220401768.0
,,,Lưu chuyển tiền thuần tử hoạt động kinh doanh,20,(5.217.720.890),(14.697.918.118),,20.0,-5217720890.0,-14697918118.0
II/,II/,II/,Lưu chuyển tiền tử hoạt động đầu tư,,,,,,,
1.,II/ > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(10.854.727.853),(1.587.760.000),,21.0,-10854727853.0,-1587760000.0
2.,II/ > 2.,2.,"Tiền thu tử thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,2.996.000.000,90.000.000,,22.0,2996000000.0,90000000.0
3.,II/ > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(171.150.000.000),(1.000.000.000),,23.0,-171150000000.0,-1000000000.0
4.,II/ > 4.,4.,"Tiền thu hồi cho vay, bán lại công cụ nợ của các đơn vị khác",24,42.000.000.000,1.825.000.000,,24.0,42000000000.0,1825000000.0
5.,II/ > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(744.923.772.286),(510.691.100.000),,25.0,-744923772286.0,-510691100000.0
6.,II/ > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,53.801.535.000,164.070.820.000,,26.0,53801535000.0,164070820000.0
7.,II/ > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,886.466.361,2.441.285.335,,27.0,886466361.0,2441285335.0
,,,Lưu chuyển tiền thuần tử hoạt động đầu tư,30,(827.244.498.778),(344.851.754.665),,30.0,-827244498778.0,-344851754665.0
III/,III/,III/,Lưu chuyển tiền tử hoạt động tài chính,,,,,,,
1.,III/ > 1.,1.,"Tiền thu tử phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,975.742.000.000,,31.0,,975742000000.0
2.,III/ > 2.,2.,Tiền thu tử đii vay,33,1.357.108.093.135,929.756.016.357,,33.0,1357108093135.0,929756016357.0
3.,III/ > 3.,3.,Tiền trả nợ gốc vay,34,(693.319.566.660),(1.201.610.034.451),,34.0,-693319566660.0,-1201610034451.0
4.,III/ > 4.,4.,Tiền trả nợ thuê tài chính,35,-,(244.172.000.000),,35.0,,-244172000000.0
,,,Lưu chuyển tiền thuần tử hoạt động tài chính,40,663.788.526.475,459.715.981.906,,40.0,663788526475.0,459715981906.0
,,,Lưu chuyển tiền thuần trong kỳ,50,(168.673.693.193),100.166.309.123,,50.0,-168673693193.0,100166309123.0
,,,Tiền và tương đương tiền đầu kỳ,60,195.089.629.972,94.923.320.849,,60.0,195089629972.0,94923320849.0
,,,Tiền và tương đương tiền cuối kỳ,70,26.415.936.779,195.089.629.972,,70.0,26415936779.0,195089629972.0
