row_label_raw,row_label_full,col_0,31/12/2018 > Giá trịVND,31/12/2018 > Số có khà năng trả nợVND,01/01/2018 > Giá trịVND,01/01/2018 > Số có khà năng trả nợVND,numeric__31/12/2018 > Giá trịVND,numeric__31/12/2018 > Số có khà năng trả nợVND,numeric__01/01/2018 > Giá trịVND,numeric__01/01/2018 > Số có khà năng trả nợVND
Các bên liên quan,Các bên liên quan,Các bên liên quan,19.729.400.000,19.729.400.000,45.368.000.000,45.368.000.000,19729400000.0,19729400000.0,45368000000.0,45368000000.0
Công ty CP Đầu tư Văn Phú - Land (i),Công ty CP Đầu tư Văn Phú - Land (i),Công ty CP Đầu tư Văn Phú - Land (i),19.538.000.000,19.538.000.000,45.368.000.000,45.368.000.000,19538000000.0,19538000000.0,45368000000.0,45368000000.0
Tiền thủ lao phải trả HĐQT và BKS,Tiền thủ lao phải trả HĐQT và BKS,Tiền thủ lao phải trả HĐQT và BKS,191.400.000,191.400.000,-,-,191400000.0,191400000.0,,
Các bên khác,Các bên khác,Các bên khác,743.026.037.309,743.026.037.309,217.137.488.167,217.137.488.167,743026037309.0,743026037309.0,217137488167.0,217137488167.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,134.788.904,134.788.904,37.479.149,37.479.149,134788904.0,134788904.0,37479149.0,37479149.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,6.673.237,6.673.237,-,-,6673237.0,6673237.0,,
Công ty TNHH Đầu tư Hưng Phú Residence (ii),Công ty TNHH Đầu tư Hưng Phú Residence (ii),Công ty TNHH Đầu tư Hưng Phú Residence (ii),540.000.000.000,540.000.000.000,-,-,540000000000.0,540000000000.0,,
Công ty CP Đầu tư BĐS SIC - Dự án Thảo Điền (iii),Công ty CP Đầu tư BĐS SIC - Dự án Thảo Điền (iii),Công ty CP Đầu tư BĐS SIC - Dự án Thảo Điền (iii),191.250.000.000,191.250.000.000,191.250.000.000,191.250.000.000,191250000000.0,191250000000.0,191250000000.0,191250000000.0
Phải trả khác,Phải trả khác,Phải trả khác,11.634.575.168,11.634.575.168,25.850.009.018,25.850.009.018,11634575168.0,11634575168.0,25850009018.0,25850009018.0
Cộng,Cộng,Cộng,762.755.437.309,762.755.437.309,262.505.488.167,262.505.488.167,762755437309.0,762755437309.0,262505488167.0,262505488167.0
