row_label_raw,row_label_full,Tên công ty,Mã doanh nghiệp,Vốn điều lệ (VND),Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,numeric__Mã doanh nghiệp,numeric__Vốn điều lệ (VND),numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính
Công ty CP ĐT BOT Hà Nội - Bắc Giang,Công ty CP ĐT BOT Hà Nội - Bắc Giang,Công ty CP ĐT BOT Hà Nội - Bắc Giang,2300846090,496.322.400.000,"Số 14, Lô B1 KDTM Nam Từ Sơn, tỉnh Bắc Ninh",Xây dựng và thu phí đường bộ,2300846090.0,496322400000.0,,
Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,0100110574,72.033.550.000,"Số 83 Hảo Nam, quận Đồng Đa, Tp. Hà Nội",Xây dựng và in ấn,100110574.0,72033550000.0,,
Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,0107102910,275.800.000.000,"Tầng 1-4, tòa V1 The Van Phu Victoria, CT9 KDT Văn Phú, quận Hà Đông, Tp. Hà Nội",Kinh doanh bất động sản,107102910.0,275800000000.0,,
Công ty CP Kinh doanh Địa ốc Văn Phú,Công ty CP Kinh doanh Địa ốc Văn Phú,Công ty CP Kinh doanh Địa ốc Văn Phú,0108097357,6.000.000.000,"Số 177 Trung Kinh, quận Cầu Giấy, Tp. Hà Nội","Tư vấn, môi giới, đầu giá bất động sản",108097357.0,6000000000.0,,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,0108308167,350.000.000.000,"Số 12 Khuất Duy Tiến, quận Thanh Xuân, Tp. Hà Nội",Xây dựng công trình kỹ thuật dân dụng,108308167.0,350000000000.0,,
