row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị VND,31/12/2018 > Dự phòng VND,01/01/2018 > Giá trị VND,01/01/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị VND,numeric__31/12/2018 > Dự phòng VND,numeric__01/01/2018 > Giá trị VND,numeric__01/01/2018 > Dự phòng VND
Các bên liên quan,Các bên liên quan,Các bên liên quan,84.186.000,-,1.884.186.000,-,84186000.0,,1884186000.0,
Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,-,-,1.800.000.000,-,,,1800000000.0,
Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,84.186.000,-,84.186.000,-,84186000.0,,84186000.0,
Các bên khác,Các bên khác,Các bên khác,90.061.910.469,-,18.860.149.782,-,90061910469.0,,18860149782.0,
Công ty CP Xây dựng Vạn,Công ty CP Xây dựng Vạn,Công ty CP Xây dựng Vạn,-,-,2.360.017.715,-,,,2360017715.0,
Công ty CP Tư vấn Thiết kế Xây dựng Tổng hợp Hà nội,Công ty CP Tư vấn Thiết kế Xây dựng Tổng hợp Hà nội,Công ty CP Tư vấn Thiết kế Xây dựng Tổng hợp Hà nội,-,-,2.000.000.000,-,,,2000000000.0,
Công ty CP Đầu tư Xây dựng Hoà Lâm,Công ty CP Đầu tư Xây dựng Hoà Lâm,Công ty CP Đầu tư Xây dựng Hoà Lâm,24.708.568.000,-,-,-,24708568000.0,,,
Công ty TNHH kỹ thuật Mesco,Công ty TNHH kỹ thuật Mesco,Công ty TNHH kỹ thuật Mesco,13.422.144.050,-,-,-,13422144050.0,,,
Công ty CP Kinh Cộng,Công ty CP Kinh Cộng,Công ty CP Kinh Cộng,11.691.919.800,-,-,-,11691919800.0,,,
Các khoản trả trước cho người bán khác,Các khoản trả trước cho người bán khác,Các khoản trả trước cho người bán khác,40.239.278.619,-,14.500.132.067,-,40239278619.0,,14500132067.0,
Cộng,Cộng,Cộng,90.146.096.469,-,20.744.335.782,-,90146096469.0,,20744335782.0,
