row_label_raw,row_label_full,col_0,Đơn vị tính: VNDCho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Đơn vị tính: VNDCho năm tài chính kết thúc ngày 31 tháng 12 năm 2022_1,numeric__Đơn vị tính: VNDCho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Đơn vị tính: VNDCho năm tài chính kết thúc ngày 31 tháng 12 năm 2022_1
,,,Trường hợp doanh thuđược ghi nhận một lần tạithời điểm bàn giao đất,Trường hợp doanh thuđược phân bổ trong thờihan thuê đất,,
Doanh thu thuần bán hàng vàcung cấp dịch vụ,Doanh thu thuần bán hàng vàcung cấp dịch vụ,Doanh thu thuần bán hàng vàcung cấp dịch vụ,15.290.297.073.087,15.214.203.395.637,15290297073087.0,15214203395637.0
Trong đó:Doanh thu cho thuê đất và cơ sở hạ tầng,Trong đó:Doanh thu cho thuê đất và cơ sở hạ tầng,Trong đó:Doanh thu cho thuê đất và cơ sở hạ tầng,77.873.089.654,1.779.412.204,77873089654.0,1779412204.0
Giá vốn hàng bán và dịch vụcung cấp,Giá vốn hàng bán và dịch vụcung cấp,Giá vốn hàng bán và dịch vụcung cấp,14.204.057.189.374,14.181.916.393.637,14204057189374.0,14181916393637.0
Lợi nhuận gộp về bán hàng vàcung cấp dịch vụ,Lợi nhuận gộp về bán hàng vàcung cấp dịch vụ,Lợi nhuận gộp về bán hàng vàcung cấp dịch vụ,1.086.239.883.713,1.032.287.002.000,1086239883713.0,1032287002000.0
