row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty TNHHAn TrungIndustries,Công ty TNHHAn TrungIndustries,Công ty TNHHAn TrungIndustries,Công tycùng Tậpđoàn,Cho vayThu hồi gốc vayDoanh thu bán hàngvà cung cấp dịch vụLãi cho vayMua hàng hóa dịchvụ,20.000.000.00020.000.000.00012.376.027.729,21.325.000.00021.325.000.0006.881.205.533,,,2.00000000002e+32,2.132500000021325e+31
Công ty TNHHAn TrungIndustries,Công ty TNHHAn TrungIndustries,Công ty TNHHAn TrungIndustries,Công tycùng Tậpđoàn,Cho vayThu hồi gốc vayDoanh thu bán hàngvà cung cấp dịch vụLãi cho vayMua hàng hóa dịchvụ,739.383.56337.241.415,126.030.137229.918.696,,,7.39383563372414e+16,1.2603013722991869e+17
Công ty TNHHMTV Cơ khíchính xác vàChế tạo khuônmẫu Việt Nam,Công ty TNHHMTV Cơ khíchính xác vàChế tạo khuônmẫu Việt Nam,Công ty TNHHMTV Cơ khíchính xác vàChế tạo khuônmẫu Việt Nam,Công tycùng Tậpđoàn,Cho vayThu hồi gốc vayDoanh thu bán hàngvà cung cấp dịch vụ,50.000.000.00050.000.000.0004.132.510.964,- -4.934.726.199,,,5.00000000005e+31,4934726199.0
Công ty NhựaHà Nội,Công ty NhựaHà Nội,Công ty NhựaHà Nội,Công ty liênkết,Doanh thu bán hàngvà cung cấp dịch vụThu hồi gốc vayCho vayNhận cổ tứcGóp vốn,39.271.665.600130.000.000.000100.000.000.000-274.293.855.000,27.606.777.300-30.000.000.0002.092.960.803-,,,,
Công ty AnkorBioplastics,Công ty NhựaHà Nội > Công ty AnkorBioplastics,Công ty AnkorBioplastics,Công tycùng lãnhđạo chủ chốt,Doanh thu bán hàngvà cung cấp dịch vụCho vayLãi cho vayMua hàng hóa dịchvụ,22.135.830.6823.657.040.0001.907.381.583224.095.935,61.487.787.80016.556.400.0001.011.355.314197.104.640,,,2.2135830682365704e+39,6.148778780016557e+40
Công ty Cổ phần Dịch vụSuất ăn công nghiệp AnPhát,Công ty NhựaHà Nội > Công ty Cổ phần Dịch vụSuất ăn công nghiệp AnPhát,Công ty Cổ phần Dịch vụSuất ăn công nghiệp AnPhát,Công ty liênkết của côngty con,Thu hồi gốc vayMua hàng hóa dịchvụ,39.000.000.0005.291.541.152,- -,,,3.900000000052916e+20,
Công ty PBAT,Công ty NhựaHà Nội > Công ty PBAT,Công ty PBAT,Công ty liênkết,Cho vayThu hồi gốc vay,27.000.000.0002.000.000.000,- -,,,2.70000000002e+20,
Ông PhạmHoàng Việt,Công ty NhựaHà Nội > Ông PhạmHoàng Việt,Ông PhạmHoàng Việt,Lãnh đàochủ chốt củacông ty con,Tạm ứngHoàn ứng,13.092.701.8607.075.077.984,9.677.226.98612.256.514.576,,,1.3092701860707508e+20,9.677226986122565e+20
Ông PhạmVăn Tuấn,Công ty NhựaHà Nội > Ông PhạmVăn Tuấn,Ông PhạmVăn Tuấn,Lãnh đàochủ chốt củacông ty con,Tạm ứngHoàn ứng,12.060.857.000277.134.678,800.000.0007.222.000.000,,,1.2060857000277135e+19,8.000000007222e+18
Ông PhạmÁnh Dương,Công ty NhựaHà Nội > Ông PhạmÁnh Dương,Ông PhạmÁnh Dương,Lãnh đàochủ chốt,Chi hộ và tạm ứng,4.761.994.126,4.093.524.840,,,4761994126.0,4093524840.0
