row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Mối quan hệ Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Mối quan hệ Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2)_1,Đơn vị tính: VND > Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Đơn vị tính: VND > Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Mối quan hệ Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Mối quan hệ Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2)_1,numeric__Đơn vị tính: VND > Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Đơn vị tính: VND > Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2)
Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty cùng Tập đoàn,Bán hàng hóa,246.217.432,-,,,246217432.0,
Công ty CP Vật liệu Xây Dụng Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dụng Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dụng Công nghệ cao An Cường,Công ty cùng Tập đoàn,Bán hàng hóa,58.961.141,48.996.868,,,58961141.0,48996868.0
,,,,,305.178.573,48.996.868,,,305178573.0,48996868.0
Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),,,,
Công ty TNHH An Trung Industries,Phải trả ngắn hạn khác (Thuyết minh số 23) > Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty cùng Tập đoàn,Phải trả khác,41.819.269,-,,,41819269.0,
,,,,,41.819.269,-,,,41819269.0,
