row_label_raw,row_label_full,Bên cho vay > Công ty TNHH Chứng khoán Shinhan Việt Nam > Ngân hàng TNHH MTV Shinhan Việt Nam,Số cuối năm (VND) > 118.666.170.203 > 148.332.712.761,"Kỳ hạn trả gốc > Đảo hạn vào tháng 11 năm 2024, lãi trả 6 tháng một lần. Lãi suất 8%/năm.","Hình thức đảm bảo > Tài sản đảm bảo là các tài sản theo các hợp đồng cầm cố cổ phần liên quan. Cụ thể: Công ty Cổ phần Tập đoàn An Phát Holdings (""Công ty An Phát Holdings""), công ty mẹ của Công ty, và một số cổ đông khác của Công ty đã cầm cố cổ phần đang lưu hành tại Công ty và Công ty cũng cầm cố cổ phần đang lưu hành tại Công ty An Tiến và Công ty Nhựa Hà Nội cho các bên nhận đảm bảo.",numeric__Số cuối năm (VND) > 118.666.170.203 > 148.332.712.761,"numeric__Kỳ hạn trả gốc > Đảo hạn vào tháng 11 năm 2024, lãi trả 6 tháng một lần. Lãi suất 8%/năm.","numeric__Hình thức đảm bảo > Tài sản đảm bảo là các tài sản theo các hợp đồng cầm cố cổ phần liên quan. Cụ thể: Công ty Cổ phần Tập đoàn An Phát Holdings (""Công ty An Phát Holdings""), công ty mẹ của Công ty, và một số cổ đông khác của Công ty đã cầm cố cổ phần đang lưu hành tại Công ty và Công ty cũng cầm cố cổ phần đang lưu hành tại Công ty An Tiến và Công ty Nhựa Hà Nội cho các bên nhận đảm bảo."
Ngân hàng Daegu,Ngân hàng Daegu,Ngân hàng Daegu,98.888.475.183,,"Tài sản đảm bảo là các tài sản theo các hợp đồng cầm cố cổ phần liên quan. Cụ thể: Công ty Cổ phần Tập đoàn An Phát Holdings (""Công ty An Phát Holdings""), công ty mẹ của Công ty, và một số cổ đông khác của Công ty đã cầm cố cổ phần đang lưu hành tại Công ty và Công ty cũng cầm cố cổ phần đang lưu hành tại Công ty An Tiến và Công ty Nhựa Hà Nội cho các bên nhận đảm bảo.",98888475183.0,,
Ngân hàng Keb Hana,Ngân hàng Keb Hana,Ngân hàng Keb Hana,98.888.475.183,,"Tài sản đảm bảo là các tài sản theo các hợp đồng cầm cố cổ phần liên quan. Cụ thể: Công ty Cổ phần Tập đoàn An Phát Holdings (""Công ty An Phát Holdings""), công ty mẹ của Công ty, và một số cổ đông khác của Công ty đã cầm cố cổ phần đang lưu hành tại Công ty và Công ty cũng cầm cố cổ phần đang lưu hành tại Công ty An Tiến và Công ty Nhựa Hà Nội cho các bên nhận đảm bảo.",98888475183.0,,
Công ty Actis Aiken,Công ty Actis Aiken,Công ty Actis Aiken,156.210.344.832,"Đảo hạn vào tháng 7 năm 2026 và tháng 12 năm 2027, lãi và gốc trả một lần vào ngày đáo hạn. Lãi suất 6%/năm.",Tín chấp.,156210344832.0,,
Công ty Cổ phần Chứng khoán Stanley Brothers,Công ty Cổ phần Chứng khoán Stanley Brothers,Công ty Cổ phần Chứng khoán Stanley Brothers,42.000.000.000,"Trái phiếu có kỳ hạn 3 năm. Thanh toán lãi 3 tháng 1 lần. Lãi suất 10,5%/năm.",Tài sản đảm bảo là một số cổ phần của Công ty An Phát Holdings sở hữu bởi bên thứ ba.,42000000000.0,,
Công ty Cổ phần Chứng khoán Stanley Brothers,Công ty Cổ phần Chứng khoán Stanley Brothers,Công ty Cổ phần Chứng khoán Stanley Brothers,20.000.000.000,"Trái phiếu có kỳ hạn 3 năm. Thanh toán lãi 6 tháng 1 lần. Lãi suất 10,5%/năm.",Tài sản đảm bảo là một số cổ phần của Công ty An Phát Holdings sở hữu bởi bên thứ ba.,20000000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,682.986.178.162,,,682986178162.0,,
Trong đó:- Trái phiếu phát hành đến hạn trả- Trái phiếu phải trả dài hạn,Trong đó:- Trái phiếu phát hành đến hạn trả- Trái phiếu phải trả dài hạn,Trong đó:- Trái phiếu phát hành đến hạn trả- Trái phiếu phải trả dài hạn,42.000.000.000640.986.178.162,,,4.200000000064099e+22,,
