row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,491.102.533.749,74.952.896.902,2.851.715.129,20.934.565.772,589.841.711.552,491102533749.0,74952896902.0,2851715129.0,20934565772.0,589841711552.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,6.701.376.356,-,-,6.701.376.356,,6701376356.0,,,6701376356.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,3.375.741.339,-,-,-,3.375.741.339,3375741339.0,,,,3375741339.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,494.478.275.088,81.654.273.258,2.851.715.129,20.934.565.772,599.918.829.247,494478275088.0,81654273258.0,2851715129.0,20934565772.0,599918829247.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,37.780.505.316,18.999.732.956,1.172.721.164,5.541.281.903,63.494.241.339,37780505316.0,18999732956.0,1172721164.0,5541281903.0,63494241339.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,25.836.686.545,10.198.774.078,481.231.032,2.624.554.392,39.141.246.047,25836686545.0,10198774078.0,481231032.0,2624554392.0,39141246047.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,63.617.191.861,29.198.507.034,1.653.952.196,8.165.836.295,102.635.487.386,63617191861.0,29198507034.0,1653952196.0,8165836295.0,102635487386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,453.322.028.433,55.953.163.946,1.678.993.965,15.393.283.869,526.347.470.213,453322028433.0,55953163946.0,1678993965.0,15393283869.0,526347470213.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,430.861.083.227,52.455.766.224,1.197.762.933,12.768.729.477,497.283.341.861,430861083227.0,52455766224.0,1197762933.0,12768729477.0,497283341861.0
