row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí nhân công,Chi phí bán hàng > - Chi phí nhân công,- Chi phí nhân công,24.797.746.407,34.546.579.594,24797746407.0,34546579594.0
- Chi phí khấu hao tài sản cố định,Chi phí bán hàng > - Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,14.774.713.972,16.102.809.161,14774713972.0,16102809161.0
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,614.092.935.984,676.326.119.974,614092935984.0,676326119974.0
- Chi phí khác,Chi phí bán hàng > - Chi phí khác,- Chi phí khác,12.431.864.287,11.562.595.835,12431864287.0,11562595835.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,666.097.260.650,738.538.104.564,666097260650.0,738538104564.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân công,Chi phí quản lý doanh nghiệp > - Chi phí nhân công,- Chi phí nhân công,92.433.759.759,68.835.507.270,92433759759.0,68835507270.0
- Chi phí nguyên vật liệu,Chi phí quản lý doanh nghiệp > - Chi phí nguyên vật liệu,- Chi phí nguyên vật liệu,705.325.998,1.335.730.830,705325998.0,1335730830.0
- Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,31.357.903.586,28.744.236.054,31357903586.0,28744236054.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,93.413.947.408,57.462.407.271,93413947408.0,57462407271.0
- Trích lập/(hoản nhập) dự phòng phải thu khó đòi,Chi phí quản lý doanh nghiệp > - Trích lập/(hoản nhập) dự phòng phải thu khó đòi,- Trích lập/(hoản nhập) dự phòng phải thu khó đòi,2.955.709.783,(920.505.920),2955709783.0,-920505920.0
- Chi phí khác,Chi phí quản lý doanh nghiệp > - Chi phí khác,- Chi phí khác,26.740.903.310,39.294.181.834,26740903310.0,39294181834.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,247.607.549.844,194.751.557.339,247607549844.0,194751557339.0
