row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả người bán,Ngắn hạn > Phải trả người bán,Phải trả người bán,718.455.478.750,718.455.478.750,550.554.375.667,550.554.375.667,718455478750.0,718455478750.0,550554375667.0,550554375667.0
Ivict (singapore),Ivict (singapore),Ivict (singapore),,,,,,,,
Pte.Ltd,Ivict (singapore) > Pte.Ltd,Pte.Ltd,126.872.443.256,126.872.443.256,-,-,126872443256.0,126872443256.0,,
Công ty Cổ phần Lộc Hóa,Công ty Cổ phần Lộc Hóa,Công ty Cổ phần Lộc Hóa,,,,,,,,
Dầu Bình Sơn,Công ty Cổ phần Lộc Hóa > Dầu Bình Sơn,Dầu Bình Sơn,87.193.499.922,87.193.499.922,55.751.618.988,55.751.618.988,87193499922.0,87193499922.0,55751618988.0,55751618988.0
SABIC Asia,SABIC Asia,SABIC Asia,,,,,,,,
Pacific Pte Ltd,SABIC Asia > Pacific Pte Ltd,Pacific Pte Ltd,102.720.686.100,102.720.686.100,75.875.629.746,75.875.629.746,102720686100.0,102720686100.0,75875629746.0,75875629746.0
Gulf Polymers Distribution company,Gulf Polymers Distribution company,Gulf Polymers Distribution company,,,,,,,,
FZCO,Gulf Polymers Distribution company > FZCO,FZCO,51.876.557.926,51.876.557.926,126.623.085.725,126.623.085.725,51876557926.0,51876557926.0,126623085725.0,126623085725.0
Các đối tượng khác,Gulf Polymers Distribution company > Các đối tượng khác,Các đối tượng khác,349.792.291.546,349.792.291.546,292.304.041.208,292.304.041.208,349792291546.0,349792291546.0,292304041208.0,292304041208.0
Phải trả các bên liên quan (Thuyết minh số 34),Gulf Polymers Distribution company > Phải trả các bên liên quan (Thuyết minh số 34),Phải trả các bên liên quan (Thuyết minh số 34),36.102.421.130,36.102.421.130,59.280.313.814,59.280.313.814,36102421130.0,36102421130.0,59280313814.0,59280313814.0
TỔNG CỘNG,Gulf Polymers Distribution company > TỔNG CỘNG,TỔNG CỘNG,754.557.899.880,754.557.899.880,609.834.689.481,609.834.689.481,754557899880.0,754557899880.0,609834689481.0,609834689481.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải trả người bán khác (*),Dài hạn > Phải trả người bán khác (*),Phải trả người bán khác (*),488.265.008,488.265.008,887.312.160,887.312.160,488265008.0,488265008.0,887312160.0,887312160.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,488.265.008,488.265.008,887.312.160,887.312.160,488265008.0,488265008.0,887312160.0,887312160.0
