row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cán trừ trong năm,Đơn vị tính: VND Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cán trừ trong năm,numeric__Đơn vị tính: VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,37.644.622.463,72.164.051.149,(105.637.424.814),4.171.248.798,37644622463.0,72164051149.0,-105637424814.0,4171248798.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,526.013.454,327.076.653.169,(327.207.105.054),395.561.569,526013454.0,327076653169.0,-327207105054.0,395561569.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,712.592.450,2.544.742.262,(2.641.053.020),616.281.692,712592450.0,2544742262.0,-2641053020.0,616281692.0
Thuế xuất nhập khẩu,Phải nộp > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,20.218.692.754,(20.218.692.754),-,,20218692754.0,-20218692754.0,
Thuế và các khoản phải nộp khác,Phải nộp > Thuế và các khoản phải nộp khác,Thuế và các khoản phải nộp khác,319.329.557,2.040.204.215,(2.307.690.596),51.843.176,319329557.0,2040204215.0,-2307690596.0,51843176.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,39.202.557.924,424.044.343.549,(458.011.966.238),5.234.935.235,39202557924.0,424044343549.0,-458011966238.0,5234935235.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,10.097.417.453,-,10.097.417.453,,10097417453.0,,10097417453.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,10.097.417.453,-,10.097.417.453,,10097417453.0,,10097417453.0
