row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc > Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá trị ghi sổ > Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Dự phòng > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Giá gốc > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Giá trị ghi sổ > Đầu tư nằm giữ đến ngày đáo hạn,Số đầu năm > Dự phòng > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá gốc > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Giá trị ghi sổ > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số cuối năm > Dự phòng > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá gốc > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Giá trị ghi sổ > Đầu tư nằm giữ đến ngày đáo hạn,numeric__Số đầu năm > Dự phòng > Đầu tư nằm giữ đến ngày đáo hạn
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),23.656.000.000,23.656.000.000,-,11.156.000.000,11.156.000.000,-,23656000000.0,23656000000.0,,11156000000.0,11156000000.0,
"Phải thu từ giao dịch mua, bán lại trái phiếu (ii)","Phải thu từ giao dịch mua, bán lại trái phiếu (ii)","Phải thu từ giao dịch mua, bán lại trái phiếu (ii)",425.000.000.000,425.000.000.000,-,425.000.000.000,425.000.000.000,-,425000000000.0,425000000000.0,,425000000000.0,425000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,448.656.000.000,448.656.000.000,-,436.156.000.000,436.156.000.000,-,448656000000.0,448656000000.0,,436156000000.0,436156000000.0,
