row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,186.066.111.703,397.868.051.996,186066111703.0,397868051996.0
Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,,,,
Thuế suất thuế TNDN 21%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 21%,Thuế suất thuế TNDN 21%,(23.917.477.403),(6.581.839.529),-23917477403.0,-6581839529.0
Thuế suất thuế TNDN 20%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 20%,Thuế suất thuế TNDN 20%,56.688.262.651,69.597.576.054,56688262651.0,69597576054.0
Thuế suất thuế TNDN 17%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 17%,Thuế suất thuế TNDN 17%,1.163.924.994,3.518.425.822,1163924994.0,3518425822.0
Thuế suất thuế TNDN ưu đãi 10%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN ưu đãi 10%,Thuế suất thuế TNDN ưu đãi 10%,167.603.611,5.482.367.936,167603611.0,5482367936.0
Thuế suất thuế TNDN ưu đãi 5%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN ưu đãi 5%,Thuế suất thuế TNDN ưu đãi 5%,399.744.714,285.098.144,399744714.0,285098144.0
Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,,,,
Thuế TNDN hoãn lại chưa được ghi nhận,Các khoản điều chỉnh > Thuế TNDN hoãn lại chưa được ghi nhận,Thuế TNDN hoãn lại chưa được ghi nhận,63.299.953.084,6.068.203.394,63299953084.0,6068203394.0
Chi phí lãi vay không được/(được) khấu trừ từ năm trước chuyển sang,Các khoản điều chỉnh > Chi phí lãi vay không được/(được) khấu trừ từ năm trước chuyển sang,Chi phí lãi vay không được/(được) khấu trừ từ năm trước chuyển sang,4.831.079.589,(2.757.262.752),4831079589.0,-2757262752.0
Chi phí không được khấu trừ,Các khoản điều chỉnh > Chi phí không được khấu trừ,Chi phí không được khấu trừ,3.919.175.077,7.782.020.766,3919175077.0,7782020766.0
Điều chỉnh khác,Các khoản điều chỉnh > Điều chỉnh khác,Điều chỉnh khác,1.690.372.469,633.026.179,1690372469.0,633026179.0
Điều chỉnh hợp nhất khác không chịu thuế,Các khoản điều chỉnh > Điều chỉnh hợp nhất khác không chịu thuế,Điều chỉnh hợp nhất khác không chịu thuế,816.217.155,(2.130.354.773),816217155.0,-2130354773.0
Điều chỉnh thuế TNDN năm trước,Các khoản điều chỉnh > Điều chỉnh thuế TNDN năm trước,Điều chỉnh thuế TNDN năm trước,594.317.897,366.338.924,594317897.0,366338924.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(3.963.944.280),,-3963944280.0
Lãi trong công ty liên kết,Các khoản điều chỉnh > Lãi trong công ty liên kết,Lãi trong công ty liên kết,(11.535.787.914),(4.574.628.308),-11535787914.0,-4574628308.0
Lỗ từ khoản đầu tư vào công ty con,Các khoản điều chỉnh > Lỗ từ khoản đầu tư vào công ty con,Lỗ từ khoản đầu tư vào công ty con,(29.342.542.158),-,-29342542158.0,
Chi phí thuế TNDN,Các khoản điều chỉnh > Chi phí thuế TNDN,Chi phí thuế TNDN,68.774.843.766,73.725.027.577,68774843766.0,73725027577.0
