row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.264.344.960.000,712.591.123.817,26.544.930.000,(9.142.474.446),80.481.616.464,13.177.404.323,706.493.529.920,659.890.646.972,5.454.381.737.050,3264344960000.0,712591123817.0,26544930000.0,-9142474446.0,80481616464.0,13177404323.0,706493529920.0,659890646972.0,5454381737050.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,-,152.599.331.716,(35.308.063.779),117.291.267.937,,,,,,,152599331716.0,-35308063779.0,117291267937.0
- Tăng vốn (i),Năm nay > - Tăng vốn (i),- Tăng vốn (i),558.400.000.000,111.355.200.000,-,-,-,-,-,-,669.755.200.000,558400000000.0,111355200000.0,,,,,,,669755200000.0
- Tăng vốn của các công ty con,Năm nay > - Tăng vốn của các công ty con,- Tăng vốn của các công ty con,-,-,-,-,-,-,(61.420.769),186.763.610.769,186.702.190.000,,,,,,,-61420769.0,186763610769.0,186702190000.0
- Trích lập quỹ khen thưởng phúc lợi (ii),Năm nay > - Trích lập quỹ khen thưởng phúc lợi (ii),- Trích lập quỹ khen thưởng phúc lợi (ii),-,-,-,-,-,-,(52.915.856.654),(6.978.377.875),(59.894.234.529),,,,,,,-52915856654.0,-6978377875.0,-59894234529.0
- Chia cổ tức bằng cổ phiếu (iii),Năm nay > - Chia cổ tức bằng cổ phiếu (iii),- Chia cổ tức bằng cổ phiếu (iii),-,-,18.200.000.000,-,-,-,(18.200.000.000),-,-,,,18200000000.0,,,,-18200000000.0,,
- Chia cổ tức bằng tiền (iv),Năm nay > - Chia cổ tức bằng tiền (iv),- Chia cổ tức bằng tiền (iv),-,-,-,-,-,-,-,(100.000.000),(100.000.000),,,,,,,,-100000000.0,-100000000.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Năm nay > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,-,22.246.518.050,-,-,-,(551.745.848),21.694.772.202,,,,22246518050.0,,,,-551745848.0,21694772202.0
- Thay đổi tỷ lệ sở hữu tại công ty con (v),Năm nay > - Thay đổi tỷ lệ sở hữu tại công ty con (v),- Thay đổi tỷ lệ sở hữu tại công ty con (v),-,-,-,-,-,-,(59.427.808.530),(152.250.424.262),(211.678.232.792),,,,,,,-59427808530.0,-152250424262.0,-211678232792.0
- Điều chỉnh khác,Năm nay > - Điều chỉnh khác,- Điều chỉnh khác,-,-,-,-,-,-,(6.799.744.916),(167.537.487),(6.967.282.403),,,,,,,-6799744916.0,-167537487.0,-6967282403.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.822.744.960.000,823.946.323.817,44.744.930.000,13.104.043.604,80.481.616.464,13.177.404.323,721.688.030.767,651.298.108.490,6.171.185.417.465,3822744960000.0,823946323817.0,44744930000.0,13104043604.0,80481616464.0,13177404323.0,721688030767.0,651298108490.0,6171185417465.0
