row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Mua hàng hóa dịch vụ,118.105.001.679,104.709.810.368,,,118105001679.0,104709810368.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Nhận tiền góp vốn,489.600.000.000,-,,,489600000000.0,
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Nhận chuyển nhượng cổ phần,370.134.030.000,57.569.388.977,,,370134030000.0,57569388977.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Doanh thu bán hàng và cung cấp dịch vụ,5.462.530.139,76.526.988.254,,,5462530139.0,76526988254.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Đi vay,194.000.000.000,71.000.000.000,,,194000000000.0,71000000000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Trả gốc vay,194.000.000.000,71.000.000.000,,,194000000000.0,71000000000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,80.900.000.000,13.500.000.000,,,80900000000.0,13500000000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Thu hồi gốc vay,56.900.000.000,121.905.000.000,,,56900000000.0,121905000000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Trả cổ tức,-,75.309.822.000,,,,75309822000.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Chi phí lãi vay,3.803.321.325,566.424.657,,,3803321325.0,566424657.0
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Lãi cho vay,1.009.549.042,8.399.441.993,,,1009549042.0,8399441993.0
Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty cùng Tập đoàn,Doanh thu bán hàng và cung cấp dịch vụ,354.210.427.292,306.579.266.482,,,354210427292.0,306579266482.0
Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty cùng Tập đoàn,Cho vay,133.000.000.000,30.000.000.000,,,133000000000.0,30000000000.0
Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty cùng Tập đoàn,Thu hồi gốc vay,133.000.000.000,38.950.000.000,,,133000000000.0,38950000000.0
Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty CP Vật liệu Xây Dương Công nghệ cao An Cường,Công ty cùng Tập đoàn,Mua hàng hóa dịch vụ,11.302.651.289,70.285.635.825,,,11302651289.0,70285635825.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Mua hàng hóa dịch vụ,93.954.015.472,77.007.718.913,,,93954015472.0,77007718913.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Doanh thu bán hàng và cung cấp dịch vụ,10.206.449.298,20.075.070.624,,,10206449298.0,20075070624.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Cho vay,26.000.000.000,25.000.000.000,,,26000000000.0,25000000000.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Thu hồi gốc vay,24.700.000.000,25.000.000.000,,,24700000000.0,25000000000.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Nhận cổ tức,3.360.000.000,-,,,3360000000.0,
