row_label_raw,row_label_full,Đầu tư vào công ty liên kết(Thuyết minh số 16.1),Số cuối năm > Giá trị ghi số > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),Số cuối năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),Số cuối năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),Số đầu năm > Giá trị ghi số > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),Số đầu năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),Số đầu năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),numeric__Số cuối năm > Giá trị ghi số > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),numeric__Số cuối năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),numeric__Số cuối năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),numeric__Số đầu năm > Giá trị ghi số > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),numeric__Số đầu năm > Dự phòng > Đầu tư vào công ty liên kết(Thuyết minh số 16.1),numeric__Số đầu năm > Giá trị hợp lý > Đầu tư vào công ty liên kết(Thuyết minh số 16.1)
"Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") (i) (*)","Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") (i) (*)","Công ty Cổ phần Nhựa Hà Nội (""Công ty Nhựa Hà Nội"") (i) (*)",1.088.807.160.321,-,452.899.933.400,405.292.410.612,-,311.450.280.000,1088807160321.0,,452899933400.0,405292410612.0,,311450280000.0
Công ty Cổ phần Sản xuất PBAT An Phát (ii),Công ty Cổ phần Sản xuất PBAT An Phát (ii),Công ty Cổ phần Sản xuất PBAT An Phát (ii),168.027.207.337,-,(*),-,-,(*),168027207337.0,,,,,
"Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"") (**)","Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"") (**)","Công ty Cổ phần Nhựa Bao bì Vinh (""Công ty Nhựa Bao bì Vinh"") (**)",79.743.591.545,-,64.026.315.500,76.966.339.609,-,66.900.966.400,79743591545.0,,64026315500.0,76966339609.0,,66900966400.0
Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt (iii),Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt (iii),Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt (iii),54.392.479.452,-,(*),-,-,(*),54392479452.0,,,,,
Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát (iv),Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát (iv),Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát (iv),41.100.000.000,-,(*),-,-,(*),41100000000.0,,,,,
"Công ty Cổ phần Sản xuất Tổng hợp Sunrise Việt Nam (""Công ty Sunrise"")","Công ty Cổ phần Sản xuất Tổng hợp Sunrise Việt Nam (""Công ty Sunrise"")","Công ty Cổ phần Sản xuất Tổng hợp Sunrise Việt Nam (""Công ty Sunrise"")",24.323.098.833,-,(*),32.075.519.850,-,(*),24323098833.0,,,32075519850.0,,
"Công ty Cổ phần Dịch vụ Xăng dầu An Đông (""Công ty An Đông"")","Công ty Cổ phần Dịch vụ Xăng dầu An Đông (""Công ty An Đông"")","Công ty Cổ phần Dịch vụ Xăng dầu An Đông (""Công ty An Đông"")",6.600.000.000,-,(*),6.600.000.000,-,(*),6600000000.0,,,6600000000.0,,
Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,980.000.000,-,(*),980.000.000,-,(*),980000000.0,,,980000000.0,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt (iii),Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt (iii),Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt (iii),-,-,(*),17.995.000.000,-,(*),,,,17995000000.0,,
