row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số cuối năm
Tài sản phân bổ theo bộ phận lĩnh vực kinh doanh,Tài sản phân bổ theo bộ phận lĩnh vực kinh doanh,Tài sản phân bổ theo bộ phận lĩnh vực kinh doanh,6.636.053.333.525,6636053333525.0
"Sản xuất, bán và kinh doanh thương mại hạt nhựa và bao bì","Sản xuất, bán và kinh doanh thương mại hạt nhựa và bao bì","Sản xuất, bán và kinh doanh thương mại hạt nhựa và bao bì",5.949.374.708.237,5949374708237.0
Kinh doanh nhà xuống. cho thuê đất và hạ tầng khu công nghiệp,Kinh doanh nhà xuống. cho thuê đất và hạ tầng khu công nghiệp,Kinh doanh nhà xuống. cho thuê đất và hạ tầng khu công nghiệp,619.927.568.389,619927568389.0
Dịch vụ vận chuyển,Dịch vụ vận chuyển,Dịch vụ vận chuyển,66.751.056.899,66751056899.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,3.373.473.301.766,3373473301766.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.009.526.635.291,10009526635291.0
