row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND Số đầu năm,Đơn vị tính: VND Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND Số đầu năm,numeric__Đơn vị tính: VND Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,602.084.473.204,-,284.428.166.215,-,602084473204.0,,284428166215.0,
Hạ tầng các khu công nghiệp (*),Hạ tầng các khu công nghiệp (*),Hạ tầng các khu công nghiệp (*),163.853.903.305,-,15.837.382.659,-,163853903305.0,,15837382659.0,
Hàng hóa,Hàng hóa,Hàng hóa,714.320.276.134,(70.380.422.640),374.703.440.615,-,714320276134.0,-70380422640.0,374703440615.0,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,109.276.288.141,-,126.634.539.217,-,109276288141.0,,126634539217.0,
Thành phẩm,Thành phẩm,Thành phẩm,108.642.776.995,(599.958.753),122.425.580.065,-,108642776995.0,-599958753.0,122425580065.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",30.950.794.233,-,28.288.914.262,-,30950794233.0,,28288914262.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,5.114.654.886,-,6.259.366.872,-,5114654886.0,,6259366872.0,
Hàng gửi bán,Hàng gửi bán,Hàng gửi bán,126.828.572.343,-,38.807.445.524,-,126828572343.0,,38807445524.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.861.071.739.241,(70.980.381.393),997.384.835.429,-,1861071739241.0,-70980381393.0,997384835429.0,
