row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,8.605.911.082,8.617.829.548,8605911082.0,8617829548.0
Thu nhập khác do hủy hợp đồng,Thu nhập khác do hủy hợp đồng,Thu nhập khác do hủy hợp đồng,1.000.652.667,1.002.976.000,1000652667.0,1002976000.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,1.996.803.224,2.051.609.648,1996803224.0,2051609648.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,5.608.455.191,5.563.243.900,5608455191.0,5563243900.0
Chi phí khác,Chi phí khác,Chi phí khác,9.833.969.448,15.851.305.956,9833969448.0,15851305956.0
Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,3.842.336.370,-,3842336370.0,
Ứng hộ quỹ chống dịch Covid-19,Ứng hộ quỹ chống dịch Covid-19,Ứng hộ quỹ chống dịch Covid-19,-,14.647.434.091,,14647434091.0
Chi phí khác,Chi phí khác,Chi phí khác,5.991.633.078,1.203.871.865,5991633078.0,1203871865.0
Lỗ KHÁC THUÀN,Lỗ KHÁC THUÀN,Lỗ KHÁC THUÀN,(1.228.058.366),(7.233.476.408),-1228058366.0,-7233476408.0
