row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi được,Đơn vị tính: VND > Số đầu năm > Giá gốc,Đơn vị tính: VND > Số đầu năm > Giá trị có thể thu hồi được,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi được,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị có thể thu hồi được
Công ty TNHH Sản xuất Thương mại Xuất nhập khẩu Phúc Hưng,Công ty TNHH Sản xuất Thương mại Xuất nhập khẩu Phúc Hưng,Công ty TNHH Sản xuất Thương mại Xuất nhập khẩu Phúc Hưng,8.338.103.600,-,8.338.103.600,-,8338103600.0,,8338103600.0,
Công ty K.S Plastic,Công ty K.S Plastic,Công ty K.S Plastic,2.427.963.200,-,-,-,2427963200.0,,,
Khác,Khác,Khác,1.924.906.810,135.144.847,2.703.272.746,215.176.566,1924906810.0,135144847.0,2703272746.0,215176566.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.690.973.610,135.144.847,11.041.376.346,215.176.566,12690973610.0,135144847.0,11041376346.0,215176566.0
