row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Bản quyềnphần mềmVND,Phần mềmmáy vi tínhVND,Tài sàncố định khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Bản quyềnphần mềmVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sàncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.185.686.931.544,19.256.806.400,536.999.478.188,29.752.022.937,2.771.695.239.069,2185686931544.0,19256806400.0,536999478188.0,29752022937.0,2771695239069.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,76.798.436.148,318.730.000,10.522.459.546,407.363.000,88.046.988.694,76798436148.0,318730000.0,10522459546.0,407363000.0,88046988694.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,30.086.029.479,-,5.885.169.618,35.593.000,36.006.792.097,30086029479.0,,5885169618.0,35593000.0,36006792097.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(117.744.371),-,-,-,(117.744.371),-117744371.0,,,,-117744371.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(2.369.353.320),-,-,-,(2.369.353.320),-2369353320.0,,,,-2369353320.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(2.839.223.892),-,(397.024.500),-,(3.236.248.392),-2839223892.0,,-397024500.0,,-3236248392.0
Tăng do thu hồi công ty con (Thuyết minh 5),Nguyên giá > Tăng do thu hồi công ty con (Thuyết minh 5),Tăng do thu hồi công ty con (Thuyết minh 5),11.873.232.355,-,3.834.462.100,6.048.006.089,21.755.700.544,11873232355.0,,3834462100.0,6048006089.0,21755700544.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.299.118.307.943,19.575.536.400,556.844.544.952,36.242.985.026,2.911.781.374.321,2299118307943.0,19575536400.0,556844544952.0,36242985026.0,2911781374321.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,188.782.431.714,15.235.002.410,451.310.635.446,13.694.165.369,669.022.234.939,188782431714.0,15235002410.0,451310635446.0,13694165369.0,669022234939.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.378.418.356,967.231.641,25.499.380.975,1.183.451.912,53.028.482.884,25378418356.0,967231641.0,25499380975.0,1183451912.0,53028482884.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(31.307.500),-,-,-,(31.307.500),-31307500.0,,,,-31307500.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(1.002.333.631),-,-,-,(1.002.333.631),-1002333631.0,,,,-1002333631.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(90.642.202),-,(375.604.964),-,(466.247.166),-90642202.0,,-375604964.0,,-466247166.0
Tăng do thu hồi công ty con (Thuyết minh 5),Giá trị hao mòn lũy kế > Tăng do thu hồi công ty con (Thuyết minh 5),Tăng do thu hồi công ty con (Thuyết minh 5),1.290.143.237,-,2.447.334.481,5.243.377.129,8.980.854.847,1290143237.0,,2447334481.0,5243377129.0,8980854847.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,214.326.709.974,16.202.234.051,478.881.745.938,20.120.994.410,729.531.684.373,214326709974.0,16202234051.0,478881745938.0,20120994410.0,729531684373.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.996.904.499.830,4.021.803.990,85.688.842.742,16.057.857.568,2.102.673.004.130,1996904499830.0,4021803990.0,85688842742.0,16057857568.0,2102673004130.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.084.791.597.969,3.373.302.349,77.962.799.014,16.121.990.616,2.182.249.689.948,2084791597969.0,3373302349.0,77962799014.0,16121990616.0,2182249689948.0
