row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.646.910.298.556,2.519.050.998.512,416.998.526.083,42.445.765.155,560.974.010.728,88.826.811.640,-,11.275.206.410.674,7646910298556.0,2519050998512.0,416998526083.0,42445765155.0,560974010728.0,88826811640.0,,11275206410674.0
Dầu tư tài chính ngắn hạn,Tài sản > Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,4.066.109.751.146,-,260.000.000.000,714.880.000.000,355.880.298.500,406.800.493,-,5.397.276.850.139,4066109751146.0,,260000000000.0,714880000000.0,355880298500.0,406800493.0,,5397276850139.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,4.675.894.001.233,5.464.545.422.724,1.568.634.391.937,356.454.614.433,419.616.873.539,23.028.094.651,(4.164.601.181.828),8.343.572.216.689,4675894001233.0,5464545422724.0,1568634391937.0,356454614433.0,419616873539.0,23028094651.0,-4164601181828.0,8343572216689.0
Hàng tôn kho,Tài sản > Hàng tôn kho,Hàng tôn kho,9.447.072.172.805,755.065.195.199,989.890.962.425,167.872.451.164,476.966.232.657,11.896.876.472,(76.111.792.522),11.772.652.098.200,9447072172805.0,755065195199.0,989890962425.0,167872451164.0,476966232657.0,11896876472.0,-76111792522.0,11772652098200.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.662.619.612.543,40.551.028.782,72.936.599.061,36.253.680.116,148.292.854.008,3.474.567.610,-,1.964.128.342.120,1662619612543.0,40551028782.0,72936599061.0,36253680116.0,148292854008.0,3474567610.0,,1964128342120.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,240.168.175.465,333.150.000,4.671.357.437,558.574.040,5.876.213.907,158.712.000,(228.275.482.586),23.490.700.263,240168175465.0,333150000.0,4671357437.0,558574040.0,5876213907.0,158712000.0,-228275482586.0,23490700263.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.855.137.553.183,629.610.051.242,767.704.213.470,366.595.476.168,4.350.641.819.501,1.565.213.517.811,(129.311.919.790),15.405.590.711.585,7855137553183.0,629610051242.0,767704213470.0,366595476168.0,4350641819501.0,1565213517811.0,-129311919790.0,15405590711585.0
