row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,13.459.730.212.416,4.205.892.234.330,14.105.613.126.102,618.334.164.278,29.025.711.850,32.418.595.448.976,13459730212416.0,4205892234330.0,14105613126102.0,618334164278.0,29025711850.0,32418595448976.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,136.800.162.126,146.207.063.909,109.637.846.736,64.755.910.747,1.257.073.850,458.658.057.368,136800162126.0,146207063909.0,109637846736.0,64755910747.0,1257073850.0,458658057368.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,766.659.169.318,152.633.873.679,536.165.420.013,16.206.488.290,2.169.257.666,1.473.834.208.966,766659169318.0,152633873679.0,536165420013.0,16206488290.0,2169257666.0,1473834208966.0
Chuyển từ/(sang) bắt động sản đầu tư,Nguyên giá > Chuyển từ/(sang) bắt động sản đầu tư,Chuyển từ/(sang) bắt động sản đầu tư,(340.855.861),839.168.572,-,-,279.655.161,777.967.872,-340855861.0,839168572.0,,,279655161.0,777967872.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(5.282.370.890),3.495.010.570,-,-,(31.727.272),(1.819.087.592),-5282370890.0,3495010570.0,,,-31727272.0,-1819087592.0
Tăng do thu hồi công ty con (Thuyết minh 5),Nguyên giá > Tăng do thu hồi công ty con (Thuyết minh 5),Tăng do thu hồi công ty con (Thuyết minh 5),133.600.911.451,186.957.170.992,38.080.822.912,11.189.343.876,248.784.638,370.077.033.869,133600911451.0,186957170992.0,38080822912.0,11189343876.0,248784638.0,370077033869.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(75.351.155.869),(48.006.887.907),(380.069.411.473),(18.274.205.246),(165.553.000),(521.867.213.495),-75351155869.0,-48006887907.0,-380069411473.0,-18274205246.0,-165553000.0,-521867213495.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(5.474.450.216),(2.393.038.692),(486.713.092),(348.532.305),(146.679.839),(8.849.414.144),-5474450216.0,-2393038692.0,-486713092.0,-348532305.0,-146679839.0,-8849414144.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,14.410.341.622.475,4.645.624.595.453,14.408.941.091.198,691.863.169.640,32.636.523.054,34.189.407.001.820,14410341622475.0,4645624595453.0,14408941091198.0,691863169640.0,32636523054.0,34189407001820.0
