row_label_raw,row_label_full,col_0,Giá trị ghi sốtại ngày 31/3/2020VND,numeric__Giá trị ghi sốtại ngày 31/3/2020VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,139.369.449.228,139369449228.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,50.544.963.654,50544963654.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,228.490.188.337,228490188337.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,203.553.830.718,203553830718.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,41.388.479.502,41388479502.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,4.502.000.000,4502000000.0
Tài sản cố định hữu hình – Giá trị còn lại,Tài sản > Tài sản cố định hữu hình – Giá trị còn lại,Tài sản cố định hữu hình – Giá trị còn lại,166.717.402.203,166717402203.0
Tài sản cố định vô hình – Giá trị còn lại,Tài sản > Tài sản cố định vô hình – Giá trị còn lại,Tài sản cố định vô hình – Giá trị còn lại,12.774.845.697,12774845697.0
Bất động sản đầu tư – Giá trị còn lại,Tài sản > Bất động sản đầu tư – Giá trị còn lại,Bất động sản đầu tư – Giá trị còn lại,29.613.042.013,29613042013.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,53.046.706.583,53046706583.0
Các khoản đầu tư tài chính dài hạn,Tài sản > Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,189.387.707.275,189387707275.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,51.981.848.999,51981848999.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,17.172.013,17172013.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,(473.687.458.508),-473687458508.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,(37.088.327.063),-37088327063.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,660.611.850.651,660611850651.0
Tiền chỉ để thu hồi công ty con,Tiền chỉ để thu hồi công ty con,Tiền chỉ để thu hồi công ty con,Tiền chỉ để thu hồi công ty con,
Khoản thanh toán cho việc thu hồi công ty con,Tiền chỉ để thu hồi công ty con > Khoản thanh toán cho việc thu hồi công ty con,Khoản thanh toán cho việc thu hồi công ty con,(266.407.928.000),-266407928000.0
Khoản tiền thu được,Tiền chỉ để thu hồi công ty con > Khoản tiền thu được,Khoản tiền thu được,139.369.449.228,139369449228.0
Khoản tiền thanh toán thuần,Tiền chỉ để thu hồi công ty con > Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,(127.038.478.772),-127038478772.0
