row_label_raw,row_label_full,Thuế giá trị gia tăng đầu ra (*) > Thuế giá trị gia tăng hàng nhập khẩu,1/1/2020VND > (254.034.808.853) > 15.044.627.326,Số phát sinh trong nămVND > (4.026.919.405.850) > (3.328.923.563.157),Số đã nộp/được hoàn trả trong nămVND > 4.011.313.296.741 > 3.419.936.818.394,Tăng/(giảm) do thu hồi công ty con(Thuyết minh 5)VND > (630.283.731) > (6.800.056),31/12/2020VND > (270.271.201.693) > 106.051.082.507,numeric__1/1/2020VND > (254.034.808.853) > 15.044.627.326,numeric__Số phát sinh trong nămVND > (4.026.919.405.850) > (3.328.923.563.157),numeric__Số đã nộp/được hoàn trả trong nămVND > 4.011.313.296.741 > 3.419.936.818.394,numeric__Tăng/(giảm) do thu hồi công ty con(Thuyết minh 5)VND > (630.283.731) > (6.800.056),numeric__31/12/2020VND > (270.271.201.693) > 106.051.082.507
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,713.173.742.873,(1.092.440.852.013),1.147.878.412.982,(12.978.320),768.598.325.522,713173742873.0,-1092440852013.0,1147878412982.0,-12978320.0,768598325522.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,475.093.999.378,(1.255.419.573.787),1.135.109.478.003,-,354.783.903.594,475093999378.0,-1255419573787.0,1135109478003.0,,354783903594.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(281.928.173.171),(202.872.632.017),529.160.673.977,(807.506.429),43.552.362.360,-281928173171.0,-202872632017.0,529160673977.0,-807506429.0,43552362360.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(19.304.601.096),(96.689.978.274),102.531.912.186,179.327.025,(13.283.340.159),-19304601096.0,-96689978274.0,102531912186.0,179327025.0,-13283340159.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,12.683.310.085,(243.219.357.083),243.874.817.266,-,13.338.770.268,12683310085.0,-243219357083.0,243874817266.0,,13338770268.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(2.277.831.665.435),(28.100.269.818.101),27.987.494.102.485,-,(2.390.607.381.051),-2277831665435.0,-28100269818101.0,27987494102485.0,,-2390607381051.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,(10.008.963.713),(273.313.179.713),283.753.200.276,-,431.056.850,-10008963713.0,-273313179713.0,283753200276.0,,431056850.0
,,,(1.627.112.532.606),(38.620.068.359.995),38.861.052.712.310,(1.278.241.511),(1.387.406.421.802),-1627112532606.0,-38620068359995.0,38861052712310.0,-1278241511.0,-1387406421802.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,1.298.617.777.022,,,,1.346.986.971.390,1298617777022.0,,,,1346986971390.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(2.925.730.309.628),,,,(2.734.393.393.192),-2925730309628.0,,,,-2734393393192.0
,,,(1.627.112.532.606),,,,(1.387.406.421.802),-1627112532606.0,,,,-1387406421802.0
