row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,31/12/2020 > Tỷ lệ hiểu quyết,31/12/2020 > Tỷ lệ sở hữu,31/12/2020 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2020 > Dự phòng VND,31/12/2020 > Giá trị hợp lý VND,31/12/2020 > Tỷ lệ biểu quyết,1/1/2020 > Tỷ lệ sở hữu,1/1/2020 > Giá trị đầu tư theo phương pháp vốn chủ VND,1/1/2020 > Dự phòng VND,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2020 > Tỷ lệ hiểu quyết,numeric__31/12/2020 > Tỷ lệ sở hữu,numeric__31/12/2020 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2020 > Dự phòng VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2020 > Tỷ lệ biểu quyết,numeric__1/1/2020 > Tỷ lệ sở hữu,numeric__1/1/2020 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__1/1/2020 > Dự phòng VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,Chế biến các sản phẩm dấu nhôn,35%,35%,332.855.794.631,-,(*),35%,35%,404.706.775.078,-,,,,0.35,0.35,332855794631.0,,,0.35,0.35,404706775078.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng TMCP Xăng dầu Petrolimex (i) Tống Công ty Cổ phần Bảo hiểm,Hà Nội,Kinh doanh dịch vụ ngân hàng,40%,40%,1.571.967.674.546,-,2.056.000.000.000,40%,40%,1.504.166.045.552,-,,,,0.4,0.4,1571967674546.0,,2056000000000.0,0.4,0.4,1504166045552.0,
2,Công ty liên kết > 2,2,Pctrolimex (ii) Công ty Cổ phần Thương mại,Hà Nội,Kinh doanh bảo hiểm,41%,41%,605.931.695.219,-,786.508.128.000,41%,41%,629.665.265.677,-,,,,0.41,0.41,605931695219.0,,786508128000.0,0.41,0.41,629665265677.0,
3,Công ty liên kết > 3,3,Kiên Giang,Kiên Giang,"Nông sản, xăng dầu Dầu tư, xây dựng, klai thác, quản lý và biao trì hệ thống",39%,39%,161.540.725.803,-,(*),39%,39%,162.914.097.099,-,,,,0.39,0.39,161540725803.0,,,0.39,0.39,162914097099.0,
4,Công ty liên kết > 4,4,Công ty Cổ phần Dịch vụ Dương cao tốc Việt Nam Công ty Cổ phần Thương mại,Hà Nội Tuyên,dương cao tốc quốc gia,22%,22%,21.302.986.604,-,(*),22%,22%,21.269.709.643,-,,,,0.22,0.22,21302986604.0,,,0.22,0.22,21269709643.0,
5,Công ty liên kết > 5,5,Tuyên Quang,Quang,Kinh doanh thương mại,28%,28%,2.753.247.250,-,(*),28%,28%,2.876.741.866,-,,,,0.28,0.28,2753247250.0,,,0.28,0.28,2876741866.0,
6,Công ty liên kết > 6,6,Công ty Cổ phần Vương Mé Kông (iii) Công ty Cổ phần - Tổng Công ty Xây lắp và Thương mại Petrolimex (Thuyết minh 5) Công ty Cổ phần Thương mại Dịch vụ,Tiền Giang,Mua bán hàng hóa,31%,31%,9.900.000.000,(1.032.593.768),(*),31%,31%,9.900.000.000,(395.184.968),,,,0.31,0.31,9900000000.0,-1032593768.0,,0.31,0.31,9900000000.0,-395184968.0
7,Công ty liên kết > 7,7,Sửa chữa Ô tô Việt Nam (iii),Hà Nội,Kinh doanh thương mại,-,-,-,-,-,35%,35%,155.084.968.450,-,,,,,,,,,0.35,0.35,155084968450.0,
8,Công ty liên kết > 8,8,Công ty Cổ phần Cơ khí Xăng dầu Công ty Cổ phần Tập đoàn Xây lắp I,Hà Nội TP. Hồ Chí Minh,"Mua bán hàng hóa Kinh doanh các loại vất tư, thiết bị xăng dấu",40%,40%,1.800.000.000,(415.266.714),(*),40%,40%,1.800.000.000,(415.266.714),,,,0.4,0.4,1800000000.0,-415266714.0,,0.4,0.4,1800000000.0,-415266714.0
9,Công ty liên kết > 9,9,Công ty Cổ phần Cơ khí Xăng dầu Công ty Cổ phần Tập đoàn Xây lắp I,Hà Nội TP. Hồ Chí Minh,Xây lắp,30%,30%,76.392.991.210,-,(*),-,-,-,-,,,,0.3,0.3,76392991210.0,,,,,,
10,Công ty liên kết > 10,10,- Petrolimex Công ty Cổ phần Xây lắp III,Hà Nội TP. Hồ Chí Minh,Xây lắp,30%,30%,70.766.278.940,-,(*),-,-,-,-,,,,0.3,0.3,70766278940.0,,,,,,
11,Công ty liên kết > 11,11,- Petrolimex Công ty Cổ phần Bất động sản,Nglệ An,Kinh doanh bất động sản,24%,24%,4.219.634.879,-,(*),-,-,-,-,,,,0.24,0.24,4219634879.0,,,,,,
,,,,,,,,2.888.944.414.772,(1.447.860.482),,,,2.892.383.603.365,(810.451.682),,,,,,2888944414772.0,-1447860482.0,,,,2892383603365.0,-810451682.0
