row_label_raw,row_label_full,col_0,Võ bình gas VND,Lợi thế kinh doanh liên quan đến cổ phần hóa VND,Tiền thuê đất VND,Chi phí sửa chữa lớn tài sản VND,Công cụ và dụng cụ VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Võ bình gas VND,numeric__Lợi thế kinh doanh liên quan đến cổ phần hóa VND,numeric__Tiền thuê đất VND,numeric__Chi phí sửa chữa lớn tài sản VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,233.941.433.888,108.428.067.837,1.395.281.266.944,181.028.501.269,103.513.454.663,438.024.176.116,2.460.216.900.717,233941433888.0,108428067837.0,1395281266944.0,181028501269.0,103513454663.0,438024176116.0,2460216900717.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,30.267.037.070,-,122.909.490.167,78.849.656.198,96.116.981.822,174.464.974.476,502.608.139.733,30267037070.0,,122909490167.0,78849656198.0,96116981822.0,174464974476.0,502608139733.0
Tăng do thu hồi công ty con (Thuyết minh 5),Tăng do thu hồi công ty con (Thuyết minh 5),Tăng do thu hồi công ty con (Thuyết minh 5),-,10.054.560.000,-,7.732.920.219,2.627.243.220,31.567.125.560,51.981.848.999,,10054560000.0,,7732920219.0,2627243220.0,31567125560.0,51981848999.0
Chuyển từ/(sang) tài sản cố định hữu hình,Chuyển từ/(sang) tài sản cố định hữu hình,Chuyển từ/(sang) tài sản cố định hữu hình,-,-,6.367.905.429,(341.700.198),(4.061.216.021),(221.270.000),1.743.719.210,,,6367905429.0,-341700198.0,-4061216021.0,-221270000.0,1743719210.0
Chuyển từ/(sang) tài sản cố định vô hình,Chuyển từ/(sang) tài sản cố định vô hình,Chuyển từ/(sang) tài sản cố định vô hình,-,-,(504.050.000),-,25.000.000,1.846.069.689,1.367.019.689,,,-504050000.0,,25000000.0,1846069689.0,1367019689.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,97.455.338.040,71.858.961.873,5.784.801.555,22.367.855.360,197.466.956.828,,,97455338040.0,71858961873.0,5784801555.0,22367855360.0,197466956828.0
Thanh lý và xóa số,Thanh lý và xóa số,Thanh lý và xóa số,(421.826.127),-,(2.232.284.101),-,(180.436.361),(3.453.019.778),(6.287.566.367),-421826127.0,,-2232284101.0,,-180436361.0,-3453019778.0,-6287566367.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(56.724.844.490),(54.432.611.320),(96.669.692.189),(138.626.349.520),(95.229.415.082),(220.148.553.735),(661.831.466.336),-56724844490.0,-54432611320.0,-96669692189.0,-138626349520.0,-95229415082.0,-220148553735.0,-661831466336.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,4.236.659.030,492.443.771,(7.899.694.062),3.170.591.261,-,,,4236659030.0,492443771.0,-7899694062.0,3170591261.0,
Biến động khác,Biến động khác,Biến động khác,(800.361.500),-,(1.330.542.031),-,1.110.261.542,(311.304.953),(1.331.946.942),-800361500.0,,-1330542031.0,,1110261542.0,-311304953.0,-1331946942.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,206.261.438.841,64.050.016.517,1.525.514.091.289,200.994.433.612,101.806.981.276,447.306.643.996,2.545.933.605.531,206261438841.0,64050016517.0,1525514091289.0,200994433612.0,101806981276.0,447306643996.0,2545933605531.0
