row_label_raw,row_label_full,"Tiền thu từ nhận góp vốn của chủ sở hữu, chuyển nhượng cổ phiếu quỹ",31,1.342.822.007.427,2.016.749.365.742,numeric__31,numeric__1.342.822.007.427,numeric__2.016.749.365.742
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,64.510.123.954.067,69.300.966.222.627,33.0,64510123954067.0,69300966222627.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(64.052.893.869.346),(68.608.569.594.605),34.0,-64052893869346.0,-68608569594605.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(3.971.129.966.069),(3.370.968.637.702),36.0,-3971129966069.0,-3370968637702.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(2.171.077.873.921),(661.822.643.938),40.0,-2171077873921.0,-661822643938.0
