row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối/ (Lỗ lũy kế) VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối/ (Lỗ lũy kế) VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,3.271.329.400.000,2.126.179.665.149,41.568.626.096,5.439.077.691.245,3271329400000.0,2126179665149.0,41568626096.0,5439077691245.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(451.950.878.218),(451.950.878.218),,,-451950878218.0,-451950878218.0
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,3.271.329.400.000,2.126.179.665.149,(410.382.252.122),4.987.126.813.027,3271329400000.0,2126179665149.0,-410382252122.0,4987126813027.0
Phát hành cổ phiếu mới theo kế hoạch về quyền chọn mua cổ phần cho nhân viên (Thuyết minh 17),Phát hành cổ phiếu mới theo kế hoạch về quyền chọn mua cổ phần cho nhân viên (Thuyết minh 17),Phát hành cổ phiếu mới theo kế hoạch về quyền chọn mua cổ phần cho nhân viên (Thuyết minh 17),19.196.530.000,10.923.300.000,-,30.119.830.000,19196530000.0,10923300000.0,,30119830000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(29.575.807.048),(29.575.807.048),,,-29575807048.0,-29575807048.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,3.290.525.930.000,2.137.102.965.149,(439.958.059.170),4.987.670.835.979,3290525930000.0,2137102965149.0,-439958059170.0,4987670835979.0
