row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2024VND,2023VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,,
Chia sẻ chi phí,Công ty Cổ phần Tập đoàn Masan > Chia sẻ chi phí,Chia sẻ chi phí,220.754.067,-,220754067.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,,
Thu nhập cổ tức,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản > Thu nhập cổ tức,Thu nhập cổ tức,12.108.015.600,11.099.014.300,12108015600.0,11099014300.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,,
Vay,Công ty TNHH MNS Meat > Vay,Vay,-,2.265.400.000.000,,2265400000000.0
Trả nợ gốc vay,Công ty TNHH MNS Meat > Trả nợ gốc vay,Trả nợ gốc vay,-,2.265.400.000.000,,2265400000000.0
Chi phí lãi vay,Công ty TNHH MNS Meat > Chi phí lãi vay,Chi phí lãi vay,-,848.690.413,,848690413.0
Thu hồi khoản hoàn trả vốn góp,Công ty TNHH MNS Meat > Thu hồi khoản hoàn trả vốn góp,Thu hồi khoản hoàn trả vốn góp,-,2.699.949.000.000,,2699949000000.0
Thu nhập từ phân phối lợi nhuận,Công ty TNHH MNS Meat > Thu nhập từ phân phối lợi nhuận,Thu nhập từ phân phối lợi nhuận,-,8.906.638.346,,8906638346.0
