row_label_raw,row_label_full,Tên,Trụ sở,Trụ sở_1,Trụ sở_2,Trụ sở_3,Hoạt động chính,Hoạt động chính_1,numeric__Trụ sở,numeric__Trụ sở_1,numeric__Trụ sở_2,numeric__Trụ sở_3,numeric__Hoạt động chính,numeric__Hoạt động chính_1
Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,"Lô CN-02, Khu Công nghiệp Đồng Văn IV, Phường Đại Cương, Thị xã Kim Bàng, Tinh Hà Nam, Việt Nam","Lô CN-02, Khu Công nghiệp Đồng Văn IV, Phường Đại Cương, Thị xã Kim Bàng, Tinh Hà Nam, Việt Nam","Lô CN-02, Khu Công nghiệp Đồng Văn IV, Phường Đại Cương, Thị xã Kim Bàng, Tinh Hà Nam, Việt Nam","Lô CN-02, Khu Công nghiệp Đồng Văn IV, Phường Đại Cương, Thị xã Kim Bàng, Tinh Hà Nam, Việt Nam","Chế biến, bảo quản thịt và các sản phẩm từ thịt","Chế biến, bảo quản thịt và các sản phẩm từ thịt",,,,,,
Công ty Cổ phần Masan JinJu,Công ty Cổ phần Masan JinJu,Công ty Cổ phần Masan JinJu,"Nhà xưởng F5, Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tinh Bình Dương, Việt Nam","Nhà xưởng F5, Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tinh Bình Dương, Việt Nam","Nhà xưởng F5, Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tinh Bình Dương, Việt Nam","Nhà xưởng F5, Lô 6, Khu Công nghiệp Tân Đông Hiệp A, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tinh Bình Dương, Việt Nam","Chế biến, bảo quản thịt và các sản phẩm từ thịt","Chế biến, bảo quản thịt và các sản phẩm từ thịt",,,,,,
Công ty TNHH MML Farm Nghệ An,Công ty TNHH MML Farm Nghệ An,Công ty TNHH MML Farm Nghệ An,"Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tinh Nghệ An, Việt Nam","Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tinh Nghệ An, Việt Nam","Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tinh Nghệ An, Việt Nam","Xóm Côn Sơn, Xã Hạ Sơn, Huyện Quỳ Hợp, Tinh Nghệ An, Việt Nam",Chăn nuôi lợn và sản xuất giống lợn,Chăn nuôi lợn và sản xuất giống lợn,,,,,,
Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,"Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Lầu 10, Tòa nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Chăn nuôi gia cầm,Chăn nuôi gia cầm,,,,,,
Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,"(Trong khuôn viên của Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế) Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tinh Đồng Nai, Việt Nam","(Trong khuôn viên của Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế) Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tinh Đồng Nai, Việt Nam","(Trong khuôn viên của Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế) Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tinh Đồng Nai, Việt Nam","(Trong khuôn viên của Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế) Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tinh Đồng Nai, Việt Nam","Tư vấn quản lý đầu tư (trừ tư vấn tài chính, kê toán và pháp luật)","Tư vấn quản lý đầu tư (trừ tư vấn tài chính, kê toán và pháp luật)",,,,,,
Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,Biến động trong năm của các khoản đầu tư vào các công ty con như sau:,,,,,,
,,,Meat Hà Nam VND,MSJ VND,Farm Nghệ An VND,3F VIỆT VND,MNS Meat VND,Tổng VND,,,,,,
Số dư đầu năm,Biến động trong năm của các khoản đầu tư vào các công ty con như sau: > Số dư đầu năm,Số dư đầu năm,2.036.000.000.000,315.033.720.000,864.000.000.000,614.774.300.000,54.000.000,3.829.862.020.000,2036000000000.0,315033720000.0,864000000000.0,614774300000.0,54000000.0,3829862020000.0
Tăng trong năm,Biến động trong năm của các khoản đầu tư vào các công ty con như sau: > Tăng trong năm,Tăng trong năm,350.000.000.000,669.966.280.000,-,-,-,1.019.966.280.000,350000000000.0,669966280000.0,,,,1019966280000.0
Số dư cuối năm,Biến động trong năm của các khoản đầu tư vào các công ty con như sau: > Số dư cuối năm,Số dư cuối năm,2.386.000.000.000,985.000.000.000,864.000.000.000,614.774.300.000,54.000.000,4.849.828.300.000,2386000000000.0,985000000000.0,864000000000.0,614774300000.0,54000000.0,4849828300000.0
