row_label_raw,row_label_full,col_0,01/01/2018(VND),Số phải nộptrong năm,Số đã thực nộptrong năm,31/12/2018(VND),numeric__01/01/2018(VND),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__31/12/2018(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,23.768.155.463,383.183.687.466,349.789.488.399,57.162.354.530,23768155463.0,383183687466.0,349789488399.0,57162354530.0
Thuế xuất nhập khẩu,Phải nộp > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,226.839,226.839,-,,226839.0,226839.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,46.406.196.090,5.760.391.668,40.645.804.422,,46406196090.0,5760391668.0,40645804422.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,242.959.193,3.344.538.683,2.813.937.332,773.560.544,242959193.0,3344538683.0,2813937332.0,773560544.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,10.223.460.130,88.860.362.773,86.785.621.112,12.298.201.791,10223460130.0,88860362773.0,86785621112.0,12298201791.0
Thuế đất và tiền thuê đất,Phải nộp > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,2.942.629.099,2.942.629.099,-,,2942629099.0,2942629099.0,
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",5.274.953.783,38.686.078.852,37.673.324.498,6.287.708.137,5274953783.0,38686078852.0,37673324498.0,6287708137.0
Cộng,Phải nộp > Cộng,Cộng,39.509.528.569,563.423.719.802,485.765.618.947,117.167.629.424,39509528569.0,563423719802.0,485765618947.0,117167629424.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,15.694.324.743,15.694.324.743,-,-,15694324743.0,15694324743.0,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,413.904.592,413.904.592,-,-,413904592.0,413904592.0,,
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,71.208.317,477.419.321,641.140.015,234.929.011,71208317.0,477419321.0,641140015.0,234929011.0
Thuế đất và tiền thuê đất,Phải thu > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,461.992.255,1.325.241.518,863.249.263,-,461992255.0,1325241518.0,863249263.0,
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,26.808.791,-,-,26.808.791,26808791.0,,,26808791.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải thu > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",537.676.447,519.339.567,1.896.802,20.233.682,537676447.0,519339567.0,1896802.0,20233682.0
Cộng,Phải thu > Cộng,Cộng,17.205.915.145,18.430.229.741,1.506.286.080,281.971.484,17205915145.0,18430229741.0,1506286080.0,281971484.0
