row_label_raw,row_label_full,col_0,col_1,31/12/2018(VND),01/01/2018(VND),numeric__col_1,numeric__31/12/2018(VND),numeric__01/01/2018(VND)
a.,a.,a.,Ngắn hạn,4.640.821.159,2.719.501.260,,4640821159.0,2719501260.0
a.,a.,a.,"Công cụ, dụng cụ xuất dùng",2.239.215.091,2.169.516.600,,2239215091.0,2169516600.0
a.,a.,a.,Chi phí bảo hiểm,528.702.498,468.700.187,,528702498.0,468700187.0
a.,a.,a.,Chi phí trả trước ngắn hạn khác,1.872.903.570,81.284.473,,1872903570.0,81284473.0
b.,b.,b.,Dài hạn,1.024.282.284.224,1.213.800.961.781,,1024282284224.0,1213800961781.0
b.,b.,b.,Chi phí bảo hiểm,-,5.595.585.884,,,5595585884.0
b.,b.,b.,Công cụ dụng cụ phân bổ nhiều năm,21.919.121.007,12.889.468.612,,21919121007.0,12889468612.0
b.,b.,b.,Chi phí sửa chữa lớn chờ phân bổ,146.797.851.474,156.025.338.755,,146797851474.0,156025338755.0
b.,b.,b.,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,28.092.521.711,32.765.746.484,,28092521711.0,32765746484.0
b.,b.,b.,Lỗ chênh lệch tỷ giá phân bổ không quá 5 năm,817.185.315.360,1.004.796.249.883,,817185315360.0,1004796249883.0
b.,b.,b.,Chi phí trả trước dài hạn khác,10.287.474.672,1.728.572.163,,10287474672.0,1728572163.0
b.,b.,b.,Cộng,1.028.923.105.383,1.216.520.463.041,,1028923105383.0,1216520463041.0
