row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi: > Dưới 3 năm",31/12/2018(VND) > Giá gốc > 612.549.324 > -,31/12/2018(VND) > Giá trị có thể thu hồi > 6.721.347 > -,01/01/2018(VND) > Giá gốc > 5.615.344.451 > 3.608.451,01/01/2018(VND) > Giá trị có thể thu hồi > 76.623.800 > -,numeric__31/12/2018(VND) > Giá gốc > 612.549.324 > -,numeric__31/12/2018(VND) > Giá trị có thể thu hồi > 6.721.347 > -,numeric__01/01/2018(VND) > Giá gốc > 5.615.344.451 > 3.608.451,numeric__01/01/2018(VND) > Giá trị có thể thu hồi > 76.623.800 > -
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,-,-,3.608.451,-,,,3608451.0,
Từ 3 năm trở lên,Từ 3 năm trở lên,Từ 3 năm trở lên,590.144.831,-,5.368.438.000,-,590144831.0,,5368438000.0,
Điện lực Thái Nguyên,Điện lực Thái Nguyên,Điện lực Thái Nguyên,13.621.000,-,13.621.000,-,13621000.0,,13621000.0,
Vụ Năng lượng - Bộ Công Thương,Vụ Năng lượng - Bộ Công Thương,Vụ Năng lượng - Bộ Công Thương,42.110.000,-,42.110.000,-,42110000.0,,42110000.0,
Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,459.574.000,-,234.448.000,-,459574000.0,,234448000.0,
Công ty Cổ phần xây dựng số 18,Công ty Cổ phần xây dựng số 18,Công ty Cổ phần xây dựng số 18,-,-,5.005.599.000,-,,,5005599000.0,
"Trung tâm nghiên cứu, TK ứng dụng CN mới","Trung tâm nghiên cứu, TK ứng dụng CN mới","Trung tâm nghiên cứu, TK ứng dụng CN mới",72.660.000,-,72.660.000,-,72660000.0,,72660000.0,
Đối tượng khác,Đối tượng khác,Đối tượng khác,2.179.831,-,-,-,2179831.0,,,
Từ 2 đến 3 năm,Từ 2 đến 3 năm,Từ 2 đến 3 năm,22.404.493,6.721.347,225.126.000,67.537.800,22404493.0,6721347.0,225126000.0,67537800.0
Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,-,-,225.126.000,67.537.800,,,225126000.0,67537800.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,22.404.493,6.721.347,-,-,22404493.0,6721347.0,,
Từ 1 đến 2 năm,Từ 1 đến 2 năm,Từ 1 đến 2 năm,-,-,18.172.000,9.086.000,,,18172000.0,9086000.0
Công ty CP SX và TM Nhất Thành Phát,Công ty CP SX và TM Nhất Thành Phát,Công ty CP SX và TM Nhất Thành Phát,-,-,18.172.000,9.086.000,,,18172000.0,9086000.0
