row_label_raw,row_label_full,TT,Tên đơn vị,Giá trị mua trong kỳ > Nội dung,Giá trị mua trong kỳ > Giá trị,Giá trị bản trong kỳ > Nội dung,Giá trị bản trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nội dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bản trong kỳ > Nội dung,numeric__Giá trị bản trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
1,1,1,Bệnh viện Than - Khoáng sản,Mua dịch vụ,803.476.966,,-,,,803476966.0,,
2,2,2,Công ty tư vấn quản lý dự án - Vinacomin,Mua dịch vụ,558.522.326,,-,,,558522326.0,,
3,3,3,Công ty CP Cơ khí Hòn Gai - Vinacomin,,-,Bán phế liệu,361.790.000,,,,,361790000.0
4,4,4,Tổng Công ty Công nghiệp Mỏ Việt Bắc,Mua dịch vụ,16.520.479.487,Bán điện,1.394.958.656,,,16520479487.0,,1394958656.0
5,5,5,Công ty CP Chế tạo máy,Mua dịch vụ,33.743.089,,-,,,33743089.0,,
6,6,6,Công ty CP Cơ điện Uông Bí,Mua dịch vụ,340.835.000,,-,,,340835000.0,,
7,7,7,Công ty CP Cơ khí Mạo Khê,Mua vật tư,44.135.000,,-,,,44135000.0,,
8,8,8,Công ty CP Công nghiệp Ô tô - Vinacomin,"Mua vật tư, sửa chữa tài sản",1.481.423.492,,-,,,1481423492.0,,
9,9,9,Công ty CP Du lịch và thương mại - Vinacomin,Mua dịch vụ,2.692.727.272,,-,,,2692727272.0,,
10,10,10,"Công ty CP tin học, công nghệ, môi trường - Vinacomin",Mua dịch vụ,2.381.685.006,,-,,,2381685006.0,,
11,11,11,Công ty CP tư vấn đầu tư mỏ và công nghiệp - Vinacomin,Mua dịch vụ,427.636.364,,-,,,427636364.0,,
12,12,12,Công ty CP Vận tải và đưa đón thợ mỏ - Vinacomin,Mua dịch vụ,5.440.000,,-,,,5440000.0,,
13,13,13,Công ty CP vật tư - TKV,"Mua vật tư, xăng dầu",72.217.323.283,,1.206.172,,,72217323283.0,,1206172.0
14,14,14,Công ty CP Xuất nhập khẩu than - Vinacomin,Mua vật tư,1.748.000.000,,-,,,1748000000.0,,
15,15,15,Công ty Kho vận Đá bạc - Vinacomin,Mua than,1.913.897.940.010,,-,,,1913897940010.0,,
16,16,16,Công ty Kho vận và cảng Cẩm phả,Mua than,3.666.434.906.830,"Bán than, dịch vụ",224.205.873.332,,,3666434906830.0,,224205873332.0
17,17,17,Công ty TNHH MTV môi trường - TKV,Mua dịch vụ,270.875.830,Bán dầu thải,131.393.559,,,270875830.0,,131393559.0
18,18,18,Tạp chí Than - Khoáng sản Việt Nam,Mua dịch vụ,65.000.000,,-,,,65000000.0,,
