row_label_raw,row_label_full,col_0,col_1,(VND) > Giá trị,(VND) > Khả năng trả nợ,Tăng trong năm,Giảm trong năm,(VND) > Giá trị_1,(VND) > Khả năng trả nợ_1,numeric__col_1,numeric__(VND) > Giá trị,numeric__(VND) > Khả năng trả nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__(VND) > Giá trị_1,numeric__(VND) > Khả năng trả nợ_1
a.,a.,a.,Gốc vay và nợ ngắn hạn,608.589.508.892,608.589.508.892,2.055.684.173.101,2.177.662.868.366,486.610.813.627,486.610.813.627,,608589508892.0,608589508892.0,2055684173101.0,2177662868366.0,486610813627.0,486610813627.0
a.1,a.1,a.1,Gốc vay ngắn hạn,608.589.508.892,608.589.508.892,2.055.684.173.101,2.177.662.868.366,486.610.813.627,486.610.813.627,,608589508892.0,608589508892.0,2055684173101.0,2177662868366.0,486610813627.0,486610813627.0
a.1,a.1,a.1,Vay ngân hàng,605.539.508.892,605.539.508.892,2.051.734.173.101,2.177.162.868.366,480.110.813.627,480.110.813.627,,605539508892.0,605539508892.0,2051734173101.0,2177162868366.0,480110813627.0,480110813627.0
a.1,a.1,a.1,Vay đối tượng khác,3.050.000.000,3.050.000.000,3.950.000.000,500.000.000,6.500.000.000,6.500.000.000,,3050000000.0,3050000000.0,3950000000.0,500000000.0,6500000000.0,6500000000.0
a.2,a.2,a.2,Gốc nợ ngắn hạn,-,-,-,-,-,-,,,,,,,
b.,a.2 > b.,b.,Gốc vay và nợ dài hạn,14.052.428.681.955,14.052.428.681.955,1.039.883.762.535,2.771.877.786.582,12.320.434.657.908,12.320.434.657.908,,14052428681955.0,14052428681955.0,1039883762535.0,2771877786582.0,12320434657908.0,12320434657908.0
b.1,a.2 > b.1,b.1,Gốc vay dài hạn,13.045.654.281.955,13.045.654.281.955,638.808.562.535,2.771.877.786.582,10.912.585.057.908,10.912.585.057.908,,13045654281955.0,13045654281955.0,638808562535.0,2771877786582.0,10912585057908.0,10912585057908.0
-,a.2 > -,-,Từ 1 năm đến 5 năm,13.533.977.640,13.533.977.640,22.446.860.000,11.174.835.140,24.806.002.500,24.806.002.500,,13533977640.0,13533977640.0,22446860000.0,11174835140.0,24806002500.0,24806002500.0
-,a.2 > -,-,Vay ngân hàng,13.533.977.640,13.533.977.640,22.446.860.000,11.174.835.140,24.806.002.500,24.806.002.500,,13533977640.0,13533977640.0,22446860000.0,11174835140.0,24806002500.0,24806002500.0
-,a.2 > -,-,Trên 5 năm,13.032.120.304.315,13.032.120.304.315,616.361.702.535,2.760.702.951.442,10.887.779.055.408,10.887.779.055.408,,13032120304315.0,13032120304315.0,616361702535.0,2760702951442.0,10887779055408.0,10887779055408.0
-,a.2 > -,-,Vay ngân hàng,5.678.351.739.710,5.678.351.739.710,431.377.848.634,1.134.290.385.218,4.975.439.203.126,4.975.439.203.126,,5678351739710.0,5678351739710.0,431377848634.0,1134290385218.0,4975439203126.0,4975439203126.0
-,a.2 > -,-,Vay Tập đoàn,7.353.768.564.605,7.353.768.564.605,184.983.853.901,1.626.412.566.224,5.912.339.852.282,5.912.339.852.282,,7353768564605.0,7353768564605.0,184983853901.0,1626412566224.0,5912339852282.0,5912339852282.0
b.2,a.2 > b.2,b.2,Gốc nợ dài hạn,1.006.774.400.000,1.006.774.400.000,401.075.200.000,-,1.407.849.600.000,1.407.849.600.000,,1006774400000.0,1006774400000.0,401075200000.0,,1407849600000.0,1407849600000.0
-,a.2 > -,-,Từ 5 năm đến 10 năm,1.006.774.400.000,1.006.774.400.000,401.075.200.000,-,1.407.849.600.000,1.407.849.600.000,,1006774400000.0,1006774400000.0,401075200000.0,,1407849600000.0,1407849600000.0
-,a.2 > -,-,Trái phiếu phát hành (*),1.006.774.400.000,1.006.774.400.000,401.075.200.000,-,1.407.849.600.000,1.407.849.600.000,,1006774400000.0,1006774400000.0,401075200000.0,,1407849600000.0,1407849600000.0
,,,Cộng,14.661.018.190.847,14.661.018.190.847,3.095.567.935.636,4.949.540.654.948,12.807.045.471.535,12.807.045.471.535,,14661018190847.0,14661018190847.0,3095567935636.0,4949540654948.0,12807045471535.0,12807045471535.0
