row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,TM,Năm 2018,Năm 2017,numeric__CHỈ TIÊU,numeric__Mã số,numeric__TM,numeric__Năm 2018,numeric__Năm 2017
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,583.628.474.168,682.515.915.748,,1.0,,583628474168.0,682515915748.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSDĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,,1.938.680.843.358,1.977.359.452.046,,2.0,,1938680843358.0,1977359452046.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,,(89.502.328.474),(101.298.039.210),,3.0,,-89502328474.0,-101298039210.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,226.938.371.884,(24.468.778.893),,4.0,,226938371884.0,-24468778893.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,,(26.362.588.801),(32.978.697.020),,5.0,,-26362588801.0,-32978697020.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,,767.045.391.538,837.653.420.264,,6.0,,767045391538.0,837653420264.0
Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,08,,3.400.428.163.673,3.338.783.272.935,,8.0,,3400428163673.0,3338783272935.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,,108.090.850.589,(567.495.228.111),,9.0,,108090850589.0,-567495228111.0
