row_label_raw,row_label_full,col_0,col_1,Năm 2018(VND),Năm 2017(VND),numeric__col_1,numeric__Năm 2018(VND),numeric__Năm 2017(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,218.110.171.379,215.044.985.803,,218110171379.0,215044985803.0
a.,a.,a.,Chi phí nhân viên quản lý,99.990.861.336,107.140.284.897,,99990861336.0,107140284897.0
a.,a.,a.,Chi phí khấu hao,20.548.908.048,18.900.320.033,,20548908048.0,18900320033.0
a.,a.,a.,Dịch vụ mua ngoài,13.116.544.758,9.517.130.421,,13116544758.0,9517130421.0
a.,a.,a.,Các khoản khác,84.453.857.237,79.487.250.452,,84453857237.0,79487250452.0
b.,b.,b.,Chi phí bán hàng,2.498.619.271,2.348.151.589,,2498619271.0,2348151589.0
b.,b.,b.,Chi phí nhân viên,660.095.000,466.472.087,,660095000.0,466472087.0
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",1.114.121.793,876.029.011,,1114121793.0,876029011.0
b.,b.,b.,Các khoản khác,724.402.478,1.005.650.491,,724402478.0,1005650491.0
b.,b.,b.,Cộng,220.608.790.650,217.393.137.392,,220608790650.0,217393137392.0
