row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2018,Giá trị ghi sổ > 01/01/2018,Giá trị hợp lý > 31/12/2018,Giá trị hợp lý > 01/01/2018,numeric__Giá trị ghi sổ > 31/12/2018,numeric__Giá trị ghi sổ > 01/01/2018,numeric__Giá trị hợp lý > 31/12/2018,numeric__Giá trị hợp lý > 01/01/2018
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư nấm giữ đến ngày đáo hạn,Các khoản đầu tư nấm giữ đến ngày đáo hạn,Các khoản đầu tư nấm giữ đến ngày đáo hạn,-,-,-,-,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,3.226.054.518.956,2.277.995.125.129,3.225.582.224.556,2.277.603.088.929,3226054518956.0,2277995125129.0,3225582224556.0,2277603088929.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,33.683.109.521,33.760.178.086,33.625.238.641,33.691.752.635,33683109521.0,33760178086.0,33625238641.0,33691752635.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,371.544.949.314,103.747.498.151,371.544.949.314,103.747.498.151,371544949314.0,103747498151.0,371544949314.0,103747498151.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,3.631.282.577.791,2.415.502.801.366,3.630.752.412.511,2.415.042.339.715,3631282577791.0,2415502801366.0,3630752412511.0,2415042339715.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,12.807.045.471.535,14.661.018.190.847,12.807.045.471.535,14.661.018.190.847,12807045471535.0,14661018190847.0,12807045471535.0,14661018190847.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.983.698.032.156,2.517.021.021.431,2.983.698.032.156,2.517.021.021.431,2983698032156.0,2517021021431.0,2983698032156.0,2517021021431.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,831.587.270.413,39.509.528.569,831.587.270.413,39.509.528.569,831587270413.0,39509528569.0,831587270413.0,39509528569.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,16.622.330.774.104,17.217.548.740.847,16.622.330.774.104,17.217.548.740.847,16622330774104.0,17217548740847.0,16622330774104.0,17217548740847.0
