row_label_raw,row_label_full,TT,Tên đơn vị,Công nợ > 131,Công nợ > 138,Công nợ > 331,Công nợ > 335,Công nợ > 338,Công nợ > 341,numeric__Tên đơn vị,numeric__Công nợ > 131,numeric__Công nợ > 138,numeric__Công nợ > 331,numeric__Công nợ > 335,numeric__Công nợ > 338,numeric__Công nợ > 341
A,A,A,B,1,,2,6,7,8,,1.0,,2.0,6.0,7.0,8.0
14,14,14,Tạp chí than khoáng sản,-,-,22.000.000,-,-,-,,,,22000000.0,,,
15,15,15,Công ty CP Địa chất Việt Bắc - TKV,-,-,43.758.649,-,-,-,,,,43758649.0,,,
16,16,16,Trường Cao đẳng Than - Khoáng sản Việt Nam,-,-,146.292.000,-,-,-,,,,146292000.0,,,
17,17,17,Tập đoàn CN Than - Khoáng sản Việt Nam,-,-,-,571.750.004.107,123.000.000,-,,,,,571750004107.0,123000000.0,
18,18,18,Tổng Công ty CN Hóa chất mỏ,-,-,921.791.145,-,-,-,,,,921791145.0,,,
19,19,19,Tổng công ty CN Mỏ Việt Bắc,-,-,3.563.333.810,-,-,-,,,,3563333810.0,,,
20,20,20,Công ty Tư vấn Quản lý dự án - Vinacomin,-,-,1.408.727.084,-,-,-,,,,1408727084.0,,,
II,II,II,CÁC KHOẢN NỘ DÀI HẠN,-,-,-,-,-,5.912.339.852.282,,,,,,,5912339852282.0
1,1,1,Tập đoàn CN Than - Khoáng sản Việt Nam,-,-,-,-,-,5.912.339.852.282,,,,,,,5912339852282.0
,,,CỘNG,-,-,1.555.694.243.329,571.750.004.107,123.000.000,5.912.339.852.282,,,,1555694243329.0,571750004107.0,123000000.0,5912339852282.0
