row_label_raw,row_label_full,TÀI SẢN NGĂN HẠN,Mã số,TM,31/12/2018,01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__01/01/2018
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,3.878.860.483.746,2.714.421.477.382,100.0,,3878860483746.0,2714421477382.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,371.544.949.314,103.747.498.151,110.0,51.0,371544949314.0,103747498151.0
Tiền,Tiền,Tiền,111,,68.544.949.314,53.747.498.151,111.0,,68544949314.0,53747498151.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,303.000.000.000,50.000.000.000,112.0,,303000000000.0,50000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,-,-,120.0,52.0,,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.253.970.171.959,2.385.940.817.683,130.0,,3253970171959.0,2385940817683.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.3,3.226.054.518.956,2.277.995.125.129,131.0,53.0,3226054518956.0,2277995125129.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,2.775.742.020,87.144.290.497,132.0,,2775742020.0,87144290497.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.4,25.322.056.143,26.105.436.708,136.0,54.0,25322056143.0,26105436708.0
Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),137,5.5,(605.827.977),(5.538.720.651),137.0,55.0,-605827977.0,-5538720651.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,423.682.817,234.686.000,139.0,,423682817.0,234686000.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.6,177.710.613.027,122.640.280.310,140.0,56.0,177710613027.0,122640280310.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,178.032.436.975,122.962.104.258,141.0,,178032436975.0,122962104258.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),,,(321.823.948),(321.823.948),,,-321823948.0,-321823948.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,75.634.749.446,102.092.881.238,150.0,,75634749446.0,102092881238.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.10,4.640.821.159,2.719.501.260,151.0,510.0,4640821159.0,2719501260.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,70.711.956.803,82.167.464.833,152.0,,70711956803.0,82167464833.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,5.13,281.971.484,17.205.915.145,153.0,513.0,281971484.0,17205915145.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,20.516.707.692.950,22.356.084.336.344,200.0,,20516707692950.0,22356084336344.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,8.361.053.378,7.654.741.378,210.0,,8361053378.0,7654741378.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.4,8.361.053.378,7.654.741.378,216.0,54.0,8361053378.0,7654741378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,,-,-,219.0,,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,18.007.614.307.741,19.850.458.806.757,220.0,,18007614307741.0,19850458806757.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,221,5.8,17.966.175.213.899,19.822.394.361.115,221.0,58.0,17966175213899.0,19822394361115.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,33.231.376.959.189,33.151.726.675.507,222.0,,33231376959189.0,33151726675507.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),223,,(15.265.201.745.290),(13.329.332.314.392),223.0,,-15265201745290.0,-13329332314392.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,227,5.9,41.439.093.842,28.064.445.642,227.0,59.0,41439093842.0,28064445642.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,48.916.020.728,32.944.149.758,228.0,,48916020728.0,32944149758.0
