row_label_raw,row_label_full,TT,Tên đơn vị,Công nợ > 131,Công nợ > 138,Công nợ > 331,Công nợ > 335,Công nợ > 338,Công nợ > 341,numeric__Tên đơn vị,numeric__Công nợ > 131,numeric__Công nợ > 138,numeric__Công nợ > 331,numeric__Công nợ > 335,numeric__Công nợ > 338,numeric__Công nợ > 341
A,A,A,B,1,,2,6,7,8,,1.0,,2.0,6.0,7.0,8.0
A,A,A,NỘ PHẢI THU,,,,,,,,,,,,,
I,A > I,I,CẮC KHOẢN NỘ NGẤN HẠN,332.340.185,528.920.000,78.000.000,-,-,-,,332340185.0,528920000.0,78000000.0,,,
1,1,1,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,-,-,-,-,-,-,,,,,,,
2,2,2,Công ty CP Xuất nhập khẩu Than - Vinacomin,-,-,-,-,-,-,,,,,,,
3,3,3,Công ty Tuyển than Cửa Ông - Vinacomin,-,-,-,-,-,-,,,,,,,
4,3 > 4,4,Tập đoàn CN Than - Khoáng sản Việt Nam,134.824.800,-,-,-,-,-,,134824800.0,,,,,
5,5,5,Công ty CP Tư vấn ĐT mỏ và Công nghiệp - Vinacomin,-,-,-,-,-,-,,,,,,,
6,5 > 6,6,Tổng công ty CN Mỏ Việt Bắc,197.515.385,-,-,-,-,-,,197515385.0,,,,,
7,5 > 7,7,Viện Khoa học công nghệ mỏ,-,528.920.000,78.000.000,-,-,-,,,528920000.0,78000000.0,,,
II,II,II,CẮC KHOẢN NỘ DÀI HẠN,-,-,-,-,-,-,,,,,,,
,,,CỘNG,332.340.185,528.920.000,78.000.000,-,-,-,,332340185.0,528920000.0,78000000.0,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,,,,,,,
I,B > I,I,CẮC KHOẢN NỘ NGАН HẠN,-,-,1.555.694.243.329,571.750.004.107,123.000.000,-,,,,1555694243329.0,571750004107.0,123000000.0,
1,B > 1,1,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,-,-,1.460.276.726.038,-,-,-,,,,1460276726038.0,,,
2,B > 2,2,Công ty Kho vận đá bạc - Vinacomin,-,-,51.232.927.877,-,-,-,,,,51232927877.0,,,
3,B > 3,3,Công ty CP công nghiệp ô tô - Vinacomin,-,-,173.895.635,-,-,-,,,,173895635.0,,,
4,B > 4,4,Viện cơ khí năng lượng và mỏ - Vinacomin,-,-,1.418.980.530,-,-,-,,,,1418980530.0,,,
5,B > 5,5,Công ty CP Vật tư - TKV,-,-,33.151.015.871,-,-,-,,,,33151015871.0,,,
6,B > 6,6,Công ty TNHH 1TV Môi trường - TKV,-,-,75.732.178,-,-,-,,,,75732178.0,,,
7,B > 7,7,Viện Khoa học Công nghệ mỏ - Vinacomin,-,-,1.115.818.036,-,-,-,,,,1115818036.0,,,
8,B > 8,8,"Công ty CP tin học, công nghệ, môi trường - Vinacomin",-,-,85.922.612,-,-,-,,,,85922612.0,,,
9,B > 9,9,Trường Quản trị kinh doanh - Vinacomin,-,-,3.844.000,-,-,-,,,,3844000.0,,,
10,B > 10,10,Công ty CP Chế tạo máy - Vinacomin,-,-,1.335.739.678,-,-,-,,,,1335739678.0,,,
11,B > 11,11,Bệnh viện Than - Khoáng sản,-,-,263.958.566,-,-,-,,,,263958566.0,,,
12,B > 12,12,Công ty CP Cơ khí Mạo Khê - Vinacomin,-,-,78.861.120,-,-,-,,,,78861120.0,,,
13,B > 13,13,Công ty CP Cơ điện Uông Bí - Vinacomin,-,-,374.918.500,-,-,-,,,,374918500.0,,,
