row_label_raw,row_label_full,(i) Phải thu khác tại ngày 31/12/2018 bao gồm:,31/12/2018(VND),numeric__31/12/2018(VND)
Phải thu tiền vật tư nhà thầu SEFCO,Phải thu tiền vật tư nhà thầu SEFCO,Phải thu tiền vật tư nhà thầu SEFCO,4.655.338.132,4655338132.0
Lãi ký quỹ ngắn hạn,Lãi ký quỹ ngắn hạn,Lãi ký quỹ ngắn hạn,962.566.640,962566640.0
Các khoản khác,Các khoản khác,Các khoản khác,18.107.090.249,18107090249.0
Cộng,Cộng,Cộng,23.724.995.021,23724995021.0
