row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,"Thiết bị, dụngcụ quản lýVND",TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị, dụngcụ quản lýVND",numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.189.880.682.911,23.298.993.137.115,338.322.085.926,51.617.165.714,272.913.603.841,33.151.726.675.507,9189880682911.0,23298993137115.0,338322085926.0,51617165714.0,272913603841.0,33151726675507.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,1.078.043.728,8.614.933.335,2.435.658.020,1.151.952.706,-,13.280.587.789,1078043728.0,8614933335.0,2435658020.0,1151952706.0,,13280587789.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,48.581.735.345,31.754.515.038,-,359.090.909,-,80.695.341.292,48581735345.0,31754515038.0,,359090909.0,,80695341292.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,203.229.633,459.487.742,-,2.237.300.000,-,2.900.017.375,203229633.0,459487742.0,,2237300000.0,,2900017375.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(622.391.000),(1.713.082.118),-,-,(2.335.473.118),,-622391000.0,-1713082118.0,,,-2335473118.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(1.477.335.607),(4.830.800.019),(2.760.017.375),-,(5.822.036.655),(14.890.189.656),-1477335607.0,-4830800019.0,-2760017375.0,,-5822036655.0,-14890189656.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.238.266.356.010,23.334.368.882.211,336.284.644.453,55.365.509.329,267.091.567.186,33.231.376.959.189,9238266356010.0,23334368882211.0,336284644453.0,55365509329.0,267091567186.0,33231376959189.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN > Số dư đầu năm,Số dư đầu năm,1.999.929.207.156,10.868.012.984.635,239.161.695.376,49.399.506.223,172.828.921.002,13.329.332.314.392,1999929207156.0,10868012984635.0,239161695376.0,49399506223.0,172828921002.0,13329332314392.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÔN > - Khấu hao trong năm,- Khấu hao trong năm,435.901.549.318,1.436.363.596.846,31.079.367.195,2.166.806.700,32.000.287.996,1.937.511.608.055,435901549318.0,1436363596846.0,31079367195.0,2166806700.0,32000287996.0,1937511608055.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÔN > - Hao mòn trong năm,- Hao mòn trong năm,1.004.462.870,-,-,-,988.464.264,1.992.927.134,1004462870.0,,,,988464264.0,1992927134.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(622.391.000),(1.713.082.118),-,-,(2.335.473.118),,-622391000.0,-1713082118.0,,,-2335473118.0
- Giảm khác,GIÁ TRỊ HAO MÔN > - Giảm khác,- Giảm khác,-,(1.299.631.173),-,-,-,(1.299.631.173),,-1299631173.0,,,,-1299631173.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN > Số dư cuối năm,Số dư cuối năm,2.436.835.219.344,12.302.454.559.308,268.527.980.453,51.566.312.923,205.817.673.262,15.265.201.745.290,2436835219344.0,12302454559308.0,268527980453.0,51566312923.0,205817673262.0,15265201745290.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,7.189.951.475.755,12.430.980.152.480,99.160.390.550,2.217.659.491,100.084.682.839,19.822.394.361.115,7189951475755.0,12430980152480.0,99160390550.0,2217659491.0,100084682839.0,19822394361115.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.801.431.136.666,11.031.914.322.903,67.756.664.000,3.799.196.406,61.273.893.924,17.966.175.213.899,6801431136666.0,11031914322903.0,67756664000.0,3799196406.0,61273893924.0,17966175213899.0
"Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:",6.571.013.073.738,,,,,,6571013073738.0
Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,946.794.265.874,,,,,,946794265874.0
Nguyên giá TSCĐ cuối năm chờ thanh lý:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,3.165.680.379,,,,,,3165680379.0
