row_label_raw,row_label_full,Thu từ phát hành cổ phiếu,31,col_2,500.169.025.778,col_4,numeric__31,numeric__col_2,numeric__500.169.025.778,numeric__col_4
Thu từ vay ngắn hạn và dài hạn,Thu từ vay ngắn hạn và dài hạn,Thu từ vay ngắn hạn và dài hạn,33,,1.450.116.582.656,745.386.195.280,33.0,,1450116582656.0,745386195280.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(2.678.310.313.163),(830.332.463.410),34.0,,-2678310313163.0,-830332463410.0
Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(262.089.672),(152.885.642),35.0,,-262089672.0,-152885642.0
Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,,(728.286.794.401),(85.099.153.772),40.0,,-728286794401.0,-85099153772.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,,90.155.706.656,(28.759.805.836),50.0,,90155706656.0,-28759805836.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,32.605.302.356,61.365.108.192,60.0,,32605302356.0,61365108192.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),70,5,122.761.009.012,32.605.302.356,70.0,5.0,122761009012.0,32605302356.0
