row_label_raw,row_label_full,col_0,1/1/2015VND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,Cán trừVND,31/12/2015VND,numeric__1/1/2015VND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Cán trừVND,numeric__31/12/2015VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,20.997.929.087,-,(20.320.144.496),677.784.591,,20997929087.0,,-20320144496.0,677784591.0
Thuế thu nhập doanhnghiệp,Thuế > Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,5.870.042.202,17.795.722.566,(15.489.480.566),-,8.176.284.202,5870042202.0,17795722566.0,-15489480566.0,,8176284202.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,550.229.470,12.703.729.400,(11.511.649.052),-,1.742.309.818,550229470.0,12703729400.0,-11511649052.0,,1742309818.0
Thuế khác,Thuế > Thuế khác,Thuế khác,-,348.075.000,(348.075.000),-,-,,348075000.0,-348075000.0,,
,,,6.420.271.672,51.845.456.053,(27.349.204.618),(20.320.144.496),10.596.378.611,6420271672.0,51845456053.0,-27349204618.0,-20320144496.0,10596378611.0
