row_label_raw,row_label_full,col_0,Số ngàyquá hạn,31/12/2015 > Giá gốcVND,31/12/2015 > Dự phòngVND,Giá trị cóthe thu hòiVND,Số ngàyquá hạn_1,1/1/2015 > Giá gốcVND,1/1/2015 > Dự phòngVND,1/1/2015 > Giá trị cóthe thu hòiVND,numeric__Số ngàyquá hạn,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Dự phòngVND,numeric__Giá trị cóthe thu hòiVND,numeric__Số ngàyquá hạn_1,numeric__1/1/2015 > Giá gốcVND,numeric__1/1/2015 > Dự phòngVND,numeric__1/1/2015 > Giá trị cóthe thu hòiVND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
- Công ty TNHH Xây dựng ÁĐồng,Nợ quá hạn > - Công ty TNHH Xây dựng ÁĐồng,- Công ty TNHH Xây dựng ÁĐồng,Hon 3 năm,36.219.590.000,36.219.590.000,-,Hon 3 năm,36.219.590.000,36.219.590.000,-,,36219590000.0,36219590000.0,,,36219590000.0,36219590000.0,
- Công ty TNHH Thương mại -Dịch vụ Kinh doanh Địa ÓcViệt R.E.M.A.X,Nợ quá hạn > - Công ty TNHH Thương mại -Dịch vụ Kinh doanh Địa ÓcViệt R.E.M.A.X,- Công ty TNHH Thương mại -Dịch vụ Kinh doanh Địa ÓcViệt R.E.M.A.X,Hon 3 năm,50.000.000.000,50.000.000.000,-,2-3 năm,50.000.000.000,35.000.000.000,15.000.000.000,,50000000000.0,50000000000.0,,,50000000000.0,35000000000.0,15000000000.0
,,,,86.219.590.000,86.219.590.000,-,,86.219.590.000,71.219.590.000,15.000.000.000,,86219590000.0,86219590000.0,,,86219590000.0,71219590000.0,15000000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Dự phòng phải thu khó đòi – ngắn hạn,Trong đó: > Dự phòng phải thu khó đòi – ngắn hạn,Dự phòng phải thu khó đòi – ngắn hạn,,,86.219.590.000,,,,71.219.590.000,,,,86219590000.0,,,,71219590000.0,
