row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư và phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng vốn chủ sở hữu VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng vốn chủ sở hữu VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,1.501.488.910.000,611.039.448.323,-,78.902.137.150,14.566.229.306,275.028.558.556,2.481.025.283.335,1501488910000.0,611039448323.0,,78902137150.0,14566229306.0,275028558556.0,2481025283335.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,55.373.731.878,55.373.731.878,,,,,,55373731878.0,55373731878.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,75.074.450.000,(75.074.450.000),-,-,-,-,-,75074450000.0,-75074450000.0,,,,,
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,6.576.814.064,-,(6.576.814.064),-,,,,6576814064.0,,-6576814064.0,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,-,-,(2.630.725.626),(2.630.725.626),,,,,,-2630725626.0,-2630725626.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,1.576.563.360.000,535.964.998.323,-,85.478.951.214,14.566.229.306,321.194.750.744,2.533.768.289.587,1576563360000.0,535964998323.0,,85478951214.0,14566229306.0,321194750744.0,2533768289587.0
Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,Vốn cổ phần đã phát hành,500.306.450.000,(137.424.222),-,-,-,-,500.169.025.778,500306450000.0,-137424222.0,,,,,500169025778.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,61.524.594.416,61.524.594.416,,,,,,61524594416.0,61524594416.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(11.890.000),-,-,-,(11.890.000),,,-11890000.0,,,,-11890000.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,93.822.220.000,(93.822.220.000),-,-,-,-,-,93822220000.0,-93822220000.0,,,,,
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,5.537.373.188,2.768.686.594,(8.306.059.782),-,,,,5537373188.0,2768686594.0,-8306059782.0,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,-,-,(5.537.373.188),(5.537.373.188),,,,,,-5537373188.0,-5537373188.0
Điều chỉnh,Điều chỉnh,Điều chỉnh,(690.000),690.000,-,-,-,-,-,-690000.0,690000.0,,,,,
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,2.170.691.340.000,442.006.044.101,(11.890.000),91.016.324.402,17.334.915.900,368.875.912.190,3.089.912.646.593,2170691340000.0,442006044101.0,-11890000.0,91016324402.0,17334915900.0,368875912190.0,3089912646593.0
