row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2015,Địa chỉ,Số lượng,% lợi ích kinh tế,% quyền biểu quyết,Giá gốc VND,Dự phòng giảm giá giá trị đầu tư VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng,numeric__% lợi ích kinh tế,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Dự phòng giảm giá giá trị đầu tư VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài gòn Thương Tín,Công ty con > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài gòn Thương Tín,"97 Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh",-,"100,00%","100,00%",70.000.000.000,(8.975.567.210),(*),,,1.0,1.0,70000000000.0,-8975567210.0,
Công ty TNHH MTV Tư Vấn,Công ty con > Công ty TNHH MTV Tư Vấn,Công ty TNHH MTV Tư Vấn,"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",-,"100,00%","100,00%",3.000.000.000,(622.267.257),(*),,,1.0,1.0,3000000000.0,-622267257.0,
Sải Gòn Thương Tín,Công ty con > Sải Gòn Thương Tín,Sải Gòn Thương Tín,"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",1.810.494,"52,00%","52,00%",18.104.940.000,(3.203.089.889),(*),,1810494.0,0.52,0.52,18104940000.0,-3203089889.0,
Công ty Cổ phần Năng lượng Thương Tín,Công ty con > Công ty Cổ phần Năng lượng Thương Tín,Công ty Cổ phần Năng lượng Thương Tín,"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",20.250.000,"90,00%","90,00%",211.353.248.412,(79.191.057.542),(*),,20250000.0,0.9,0.9,211353248412.0,-79191057542.0,
Công ty Cổ phần Đầu tư – Phát triển Bắt động sản Đông Sài Gòn,Công ty con > Công ty Cổ phần Đầu tư – Phát triển Bắt động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư – Phát triển Bắt động sản Đông Sài Gòn,"621 Phạm Văn Chí, Phường 7, Quận 6, Thành phố Hồ Chí Minh",48.109,"80,18%","80,18%",22.325.715.031,-,(*),,48109.0,0.8018000000000001,0.8018000000000001,22325715031.0,,
Công ty TNHH Thương Tín Tàu Cuốc,Công ty con > Công ty TNHH Thương Tín Tàu Cuốc,Công ty TNHH Thương Tín Tàu Cuốc,"16/9 Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",-,"74,00%","74,00%",247.154.000.000,-,(*),,,0.74,0.74,247154000000.0,,
Công ty Cổ phần May Tiến Phát,Công ty con > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,"171A Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",32.436.000,"92,67%","92,67%",593.731.022.687,-,(*),,32436000.0,0.9267,0.9267,593731022687.0,,
,,,,,,,1.165.668.926.130,(91.991.981.898),,,,,,1165668926130.0,-91991981898.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
Công ty Cổ phần Địa ốc Dũng Anh,Công ty liên kết > Công ty Cổ phần Địa ốc Dũng Anh,Công ty Cổ phần Địa ốc Dũng Anh,"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",2.389.150,"25,00%","25,00%",23.891.500.000,(2.363.214.705),(*),,2389150.0,0.25,0.25,23891500000.0,-2363214705.0,
Công ty Cổ phần Đầu tư Xây dựng Hùng Anh (h),Công ty liên kết > Công ty Cổ phần Đầu tư Xây dựng Hùng Anh (h),Công ty Cổ phần Đầu tư Xây dựng Hùng Anh (h),"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",7.000.000,"35,00%","35,00%",73.676.357.143,(48.460.513.732),(*),,7000000.0,0.35,0.35,73676357143.0,-48460513732.0,
,,,,,,,97.567.857.143,(50.823.728.437),,,,,,97567857143.0,-50823728437.0,
