row_label_raw,row_label_full,col_0,Loại tiên,Lãi suất năm,31/12/2015 VND,1/1/2015 VND,numeric__Loại tiên,numeric__Lãi suất năm,numeric__31/12/2015 VND,numeric__1/1/2015 VND
Khoản vay ngắn hạn không được đảm bảo,Khoản vay ngắn hạn không được đảm bảo,Khoản vay ngắn hạn không được đảm bảo,Khoản vay ngắn hạn không được đảm bảo,Khoản vay ngắn hạn không được đảm bảo,Khoản vay ngắn hạn không được đảm bảo,Khoản vay ngắn hạn không được đảm bảo,,,,
Vay từ các cá nhân (i),Khoản vay ngắn hạn không được đảm bảo > Vay từ các cá nhân (i),Vay từ các cá nhân (i),VND,"9,00%-12,00%",60.170.000.000,6.500.000.000,,,60170000000.0,6500000000.0
Công ty Cổ phần Năng lượng Thương Tín (i),Khoản vay ngắn hạn không được đảm bảo > Công ty Cổ phần Năng lượng Thương Tín (i),Công ty Cổ phần Năng lượng Thương Tín (i),VND,Không chịu lãi,12.749.700.000,13.374.700.000,,,12749700000.0,13374700000.0
Vay từ các cổ đông (i),Khoản vay ngắn hạn không được đảm bảo > Vay từ các cổ đông (i),Vay từ các cổ đông (i),VND,"13,00%",9.800.000.000,5.350.000.000,,0.13,9800000000.0,5350000000.0
Vay từ một cá nhân (i),Khoản vay ngắn hạn không được đảm bảo > Vay từ một cá nhân (i),Vay từ một cá nhân (i),VND,"10,00%",190.000.000,-,,0.1,190000000.0,
Công ty TNHH Thương Tín Tàu Cuốc (i),Khoản vay ngắn hạn không được đảm bảo > Công ty TNHH Thương Tín Tàu Cuốc (i),Công ty TNHH Thương Tín Tàu Cuốc (i),VND,Không chịu lãi,-,7.854.000.000,,,,7854000000.0
Công ty Cổ phần Sản Xuất Thương mại Thành Thành Công (i),Khoản vay ngắn hạn không được đảm bảo > Công ty Cổ phần Sản Xuất Thương mại Thành Thành Công (i),Công ty Cổ phần Sản Xuất Thương mại Thành Thành Công (i),VND,"8,00%",-,193.771.492.017,,0.08,,193771492017.0
Khoản vay ngắn hạn được đảm bảo,Khoản vay ngắn hạn được đảm bảo,Khoản vay ngắn hạn được đảm bảo,Khoản vay ngắn hạn được đảm bảo,Khoản vay ngắn hạn được đảm bảo,Khoản vay ngắn hạn được đảm bảo,Khoản vay ngắn hạn được đảm bảo,,,,
Công ty Cổ phần Bao bì – Kho bãi Bình Tây (ii) VND Ngân hàng Thương mại Cổ phần Phát triển,Khoản vay ngắn hạn được đảm bảo > Công ty Cổ phần Bao bì – Kho bãi Bình Tây (ii) VND Ngân hàng Thương mại Cổ phần Phát triển,Công ty Cổ phần Bao bì – Kho bãi Bình Tây (ii) VND Ngân hàng Thương mại Cổ phần Phát triển,VND,"10,00%",4.500.000.000,4.500.000.000,,0.1,4500000000.0,4500000000.0
Thành phố Hồ Chí Minh (iii),Khoản vay ngắn hạn được đảm bảo > Thành phố Hồ Chí Minh (iii),Thành phố Hồ Chí Minh (iii),VND,"8,0%",3.113.854.642,-,,0.08,3113854642.0,
Ngân hàng Thương mại Cổ phần Phương Đông,Khoản vay ngắn hạn được đảm bảo > Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,VND,"6,50%-10,30%",-,8.620.000.000,,,,8620000000.0
,,,,,90.523.554.642,239.970.192.017,,,90523554642.0,239970192017.0
