row_label_raw,row_label_full,col_0,2014(phân loại lại),2014(theo báo cáotrước đây),numeric__2014(phân loại lại),numeric__2014(theo báo cáotrước đây)
,,,VND,VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,871.856.105,1.715.189.430,871856105.0,1715189430.0
Chi phí khác,Chi phí khác,Chi phí khác,-,843.333.325,,843333325.0
