row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty SADO,Công ty SADO,Công ty SADO,Công ty con,Phải thu hoàn cọc,-,794.000,,,,794000.0
Công ty SADO,Công ty SADO,Công ty SADO,Công ty con,Lãi vay phải thu,491.829,22.759,,,491829.0,22759.0
Công ty VinFast,Công ty VinFast,Công ty VinFast,Công ty con,Lãi vay phải thu,188,436.546,,,188.0,436546.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Lãi vay phải thu,239.242,131.882,,,239242.0,131882.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Phải thu khác,22.866,11.601,,,22866.0,11601.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Lãi vay phải thu,125.246,24.079,,,125246.0,24079.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Phải thu khác,12.526,9.305,,,12526.0,9305.0
Công ty Vinbiocare,Công ty Vinbiocare,Công ty Vinbiocare,Công ty con,Phải thu do chi hộ,229.552,-,,,229552.0,
Công ty Vinbiocare,Công ty Vinbiocare,Công ty Vinbiocare,Công ty con,Lãi vay phải thu,24.408,-,,,24408.0,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Phải thu do chi hộ,227.719,-,,,227719.0,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Lãi vay phải thu,11.894,-,,,11894.0,
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải thu khác,290.749,248.389,,,290749.0,248389.0
