row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Tỷ lệ biểu quyết (%),Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Giá trị ghi số (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Tỷ lệ biểu quyết (%),Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Giá trị ghi số (triệu VND),Số đầu năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Tỷ lệ biểu quyết (%),numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Giá trị ghi số (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Tỷ lệ biểu quyết (%),numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Giá trị ghi số (triệu VND),numeric__Số đầu năm > Giá trị hợp lý (triệu VND)
Công ty TNHH Đầu tư Phát triển Đỏ thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đỏ thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đỏ thị Ngọc Viễn Đông,(*),"9,62","9,62",519.233,(**),(*),"9,62","9,62",519.233,(**),,9.62,9.62,519233.0,,,9.62,9.62,519233.0,
Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc (i),Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc (i),Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc (i),-,-,-,-,-,37.500.000,"5,00","5,00",390.000,(**),,,,,,37500000.0,5.0,5.0,390000.0,
Tập đoàn Đệt may Việt Nam (***),Tập đoàn Đệt may Việt Nam (***),Tập đoàn Đệt may Việt Nam (***),25.000.000,"5,00","5,00",276.197,662.000,50.000.000,"10,00","10,00",552.395,474.333,25000000.0,5.0,5.0,276197.0,662000.0,50000000.0,10.0,10.0,552395.0,474333.0
Công ty Cổ phần Thời trang M.Y.M,Công ty Cổ phần Thời trang M.Y.M,Công ty Cổ phần Thời trang M.Y.M,6.080.000,"19,00","19,00",60.800,(**),6.080.000,"19,00","19,00",60.800,(**),6080000.0,19.0,19.0,60800.0,,6080000.0,19.0,19.0,60800.0,
Công ty Cổ phần Tập đoàn Truyền thông Thanh niên,Công ty Cổ phần Tập đoàn Truyền thông Thanh niên,Công ty Cổ phần Tập đoàn Truyền thông Thanh niên,400.000,"3,87","3,87",12.400,(**),400.000,"3,87","3,87",12.400,(**),400000.0,3.87,3.87,12400.0,,400000.0,3.87,3.87,12400.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,868.630,,,,,1.534.828,,,,,868630.0,,,,,1534828.0,
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,,,(60.800),,,,,(138.862),,,,,-60800.0,,,,,-138862.0,
