row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,Ngắn hạn > Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,1.085.204,1.622.780,1085204.0,1622780.0
Chi phí bán hàng trích trước,Ngắn hạn > Chi phí bán hàng trích trước,Chi phí bán hàng trích trước,296.927,179.575,296927.0,179575.0
Chi phí lãi vay trích trước,Ngắn hạn > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,265.257,400.794,265257.0,400794.0
Khác,Ngắn hạn > Khác,Khác,649.289,274.866,649289.0,274866.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.296.677,2.478.015,2296677.0,2478015.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả khác,Trong đó: > Chi phí phải trả khác,Chi phí phải trả khác,2.286.861,2.335.507,2286861.0,2335507.0
Chi phí phải trả các bên liên quan(Thuyết minh số 33.2),Trong đó: > Chi phí phải trả các bên liên quan(Thuyết minh số 33.2),Chi phí phải trả các bên liên quan(Thuyết minh số 33.2),9.816,142.508,9816.0,142508.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay trích trước (Thuyết minh số 33.2),Dài hạn > Chi phí lãi vay trích trước (Thuyết minh số 33.2),Chi phí lãi vay trích trước (Thuyết minh số 33.2),268.797,-,268797.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,268.797,-,268797.0,
