row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịquản lý,Tài sảncó định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịquản lý,numeric__Tài sảncó định khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,691.423,306.458,65.393,164.173,1.250,1.228.697,691423.0,306458.0,65393.0,164173.0,1250.0,1228697.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,240,8.961,-,-,9.201,,240.0,8961.0,,,9201.0
Xây dựng cơ bảnhoàn thành,Nguyên giá: > Xây dựng cơ bảnhoàn thành,Xây dựng cơ bảnhoàn thành,4.610,-,-,-,-,4.610,4610.0,,,,,4610.0
"Thanh lý, nhượngbán","Nguyên giá: > Thanh lý, nhượngbán","Thanh lý, nhượngbán",-,-,(1.590),-,-,(1.590),,,-1590.0,,,-1590.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(9.092),-,-,-,-,(9.092),-9092.0,,,,,-9092.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,686.941,306.698,72.764,164.173,1.250,1.231.826,686941.0,306698.0,72764.0,164173.0,1250.0,1231826.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,8.876,9.026,24.639,56,42.597,,8876.0,9026.0,24639.0,56.0,42597.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,46.742,86.569,23.029,93.887,1.008,251.235,46742.0,86569.0,23029.0,93887.0,1008.0,251235.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,14.385,34.088,8.920,30.895,93,88.381,14385.0,34088.0,8920.0,30895.0,93.0,88381.0
"Thanh lý, nhượngbán","Giá trị khấu hao lũy kế: > Thanh lý, nhượngbán","Thanh lý, nhượngbán",-,-,(362),-,-,(362),,,-362.0,,,-362.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,61.127,120.657,31.587,124.782,1.101,339.254,61127.0,120657.0,31587.0,124782.0,1101.0,339254.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,644.681,219.889,42.364,70.286,242,977.462,644681.0,219889.0,42364.0,70286.0,242.0,977462.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,625.814,186.041,41.177,39.391,149,892.572,625814.0,186041.0,41177.0,39391.0,149.0,892572.0
