row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty VinFast,Công ty VinFast,Công ty VinFast,Công ty con,Lãi vay phải thu,934.967,-,,,934967.0,
Công ty con khác,Công ty con khác,Công ty con khác,Công ty con,Lãi vay phải thu,-,307,,,,307.0
,,,,,934.967,307,,,934967.0,307.0
► Tài sản ngắn hạn khác (Thuyết minh số 12),► Tài sản ngắn hạn khác (Thuyết minh số 12),► Tài sản ngắn hạn khác (Thuyết minh số 12),► Tài sản ngắn hạn khác (Thuyết minh số 12),► Tài sản ngắn hạn khác (Thuyết minh số 12),► Tài sản ngắn hạn khác (Thuyết minh số 12),► Tài sản ngắn hạn khác (Thuyết minh số 12),,,,
,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Công ty Triển lâm Việt Nam,Bên liên quan > Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,Công ty con,Ứng trước tiền góp vốn,4.900.000,4.900.000,,,4900000.0,4900000.0
Các cá nhân,Bên liên quan > Các cá nhân,Các cá nhân,Thành viên mật thiết trong gia đình của cổ đông lớn và các bên liên quan khác,Đặt cọc mua cổ phần,394.000,-,,,394000.0,
,,,,,5.294.000,4.900.000,,,5294000.0,4900000.0
► Tài sản dài hạn khác (Thuyết minh số 12),► Tài sản dài hạn khác (Thuyết minh số 12),► Tài sản dài hạn khác (Thuyết minh số 12),► Tài sản dài hạn khác (Thuyết minh số 12),► Tài sản dài hạn khác (Thuyết minh số 12),► Tài sản dài hạn khác (Thuyết minh số 12),► Tài sản dài hạn khác (Thuyết minh số 12),,,,
,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Công ty Vinpearl,Bên liên quan > Công ty Vinpearl,Công ty Vinpearl,Công ty con,Đặt cọc cho mục đích thực hiện hợp đồng,5.522.946,-,,,5522946.0,
,,,,,5.522.946,-,,,5522946.0,
