row_label_raw,row_label_full,Bên liên quan > Công ty Triển lâm Việt Nam,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Ứng trước cho mục đích góp vốn,Đơn vị tính: triệu VND > Năm nay > -,Đơn vị tính: triệu VND > Năm trước > 4.900.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Ứng trước cho mục đích góp vốn,numeric__Đơn vị tính: triệu VND > Năm nay > -,numeric__Đơn vị tính: triệu VND > Năm trước > 4.900.000
Công ty KCN Vinhomes,Công ty KCN Vinhomes,Công ty KCN Vinhomes,Công ty con,Đi vay,-,3.800.000,,,,3800000.0
Công ty Grand Prix,Công ty Grand Prix,Công ty Grand Prix,Công ty con,Góp vốn bằng khoản cho vayCho vayLãi cho vay,2.584.2772.149.500105.563,-3.203.777102.896,,,2.5842772149500105e+19,-3203777102896.0
Công ty TNHH Vincom Retail Miền Nam (được sáp nhập vào Công ty Vận hành Vincom Retail),Công ty TNHH Vincom Retail Miền Nam (được sáp nhập vào Công ty Vận hành Vincom Retail),Công ty TNHH Vincom Retail Miền Nam (được sáp nhập vào Công ty Vận hành Vincom Retail),Công ty con đến ngày 30 tháng 9 năm 2021,Chuyển nhượng bất động sản,-,531.291,,,,531291.0
Công ty VinWonders,Công ty VinWonders,Công ty VinWonders,Công ty con đến ngày 30 tháng 4 năm 2021,Nhận đặt cọc cho mục đích hợp tác đầu tư,-,400.000,,,,400000.0
Công ty VinTech,Công ty VinTech,Công ty VinTech,Công ty con,Cho vayNhận chuyển nhượng khoản đầu tư,1.620.70053.940,773.616500.000,,,162070053940.0,773616500000.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Công ty con,Góp vốn bằng tiềnĐi vay,-,999.500725.000,,,,999500725000.0
Công ty SADO,Công ty SADO,Công ty SADO,Công ty con,Nhận chuyển nhượng khoản đầu tưChuyển đổi phải thu từ chuyển nhượng khoản đầu tư thành cho vayCho vayChuyển đổi phải thu từ hoàn cọc chuyển nhượng khoản đầu tư thành cho vayLãi cho vayChuyển nhượng khoản đầu tư,7.722.4267.722.4261.288.000199.000494.064,-27.100-22.5797.722.426,,,7.722426772242613e+32,
Công ty Đô thị Gia Lâm,Công ty Đô thị Gia Lâm,Công ty Đô thị Gia Lâm,Công ty con,Đi vayCho vayLãi đi vay,3.600.00042.89919.206,18.983.2531.191.747236.042,,,3.600000428991921e+16,1.8983253119174725e+20
